player_id,player_name,team,pos,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
18775,"Ja'Marr Chase",CIN,wr,clay|cbs|nfl,16.5,1.3,14.3,0,116.3,1541.7,12,0.3,0,0,0,1.2
20271,"Bijan Robinson",ATL,rb,clay|cbs|nfl,16,195.7,1388,11.3,59,450.7,2,1,0,0,0,2.6
20272,"Jahmyr Gibbs",DET,rb,clay|cbs|nfl,16,153.7,1211.3,11.3,57.3,517,2.7,1,0,0,0,4.3
16062,"Saquon Barkley",PHI,rb,clay|cbs|nfl,16,217,1692.3,10.7,39.3,303.7,2,1,0,0,0,4.9
17972,"Justin Jefferson",MIN,wr,clay|cbs|nfl,16.5,0,2,0,107.7,1498.7,9.3,0.3,0,0,0,5.4
17965,"CeeDee Lamb",DAL,wr,clay|cbs|nfl,16.5,2.7,43.3,0.3,114.3,1407.7,8,0.7,0,0,0,5.9
21122,"Malik Nabers",NYG,wr,clay|cbs|nfl,16.5,1.3,19.7,0,108.3,1349.7,9,0.3,0,0,0,9.7
18827,"Amon-Ra St. Brown",DET,wr,clay|cbs|nfl,16.5,1.7,14.3,0,110,1245.3,8.3,0.7,0,0,0,10.3
22055,"Ashton Jeanty",LV,rb,clay|cbs|nfl,16,181.7,1191.7,9,51.7,416.3,2,2,0,0,0,10.6
15222,"Christian McCaffrey",SF,rb,clay|cbs|nfl,15.5,159.3,1079,8,63.7,553.3,3,1.3,0,0,0,12.4
20336,"Puka Nacua",LAR,wr,clay|cbs|nfl,16,4.3,50.7,0.7,105.3,1383,6.7,0.3,0,0,0,12.4
21131,"Brian Thomas Jr.",JAX,wr,clay|cbs|nfl,16.5,1.3,14.7,0,93.3,1313.3,9,0.3,0,0,0,12.8
15055,"Derrick Henry",BLT,rb,clay|cbs|nfl,16,200.3,1555.3,13.7,17.3,167,1,1,0,0,0,13.8
20284,"De'Von Achane",MIA,rb,clay|cbs|nfl,16,130,933,7.3,69.7,528.3,4.3,1,0,0,0,13.9
18836,"Nico Collins",HST,wr,clay|cbs|nfl,16,0,2,0,91,1308,9.3,0.3,0,0,0,14.6
19433,"Drake London",ATL,wr,clay|cbs|nfl,16.5,0,3.7,0,95.3,1197.7,8.3,0.3,0,0,0,16.6
21123,"Brock Bowers",LV,te,clay|cbs|nfl,16.5,2,11.3,0,105.3,1121.7,6.3,0.3,0,0,0,19
21136,"Bucky Irving",TB,rb,clay|cbs|nfl,16,168.7,1167,8.3,45.3,355,2,1,0,0,0,21
17004,"A.J. Brown",PHI,wr,clay|cbs|nfl,16.5,0,0,0,85.3,1271.3,8.3,0.7,0,0,0,21.1
21139,"Ladd McConkey",LAC,wr,clay|cbs|nfl,16.5,0,2.3,0,90.7,1192.3,7,0.3,0,0,0,22.2
17962,"Jonathan Taylor",IND,rb,clay|cbs|nfl,16,216.3,1441,10,30.7,230.7,1.3,1,0,0,0,22.6
16998,"Josh Jacobs",GB,rb,clay|cbs|nfl,16,201.3,1257,12,39.7,333,1.7,1,0,0,0,22.8
16081,"Lamar Jackson",BLT,qb,clay|cbs|nfl,16.5,92.3,857,3.7,0,0,0,1.7,3822,32.3,8.3,23.5
16074,"Josh Allen",BUF,qb,clay|cbs|nfl,16.5,78,561,10.7,0,0,0,1,3869,29,9.7,24.3
20292,"Chase Brown",CIN,rb,clay|cbs|nfl,16,155.7,966.3,8,58.3,406.7,2.7,1,0,0,0,25
19439,"Trey McBride",ARZ,te,clay|cbs|nfl,16.5,0,1,0,104.7,1057.7,6,0.3,0,0,0,26.8
19450,"Kyren Williams",LAR,rb,clay|cbs|nfl,16,200.7,1269,11.7,33.7,214.3,2,1.7,0,0,0,28
19431,"Garrett Wilson",NYJ,wr,clay|cbs|nfl,16.5,1.7,21,0,88,1087.3,5.7,1,0,0,0,28.3
20273,"Jaxon Smith-Njigba",SEA,wr,clay|cbs|nfl,16.5,2.3,27.3,0,90.7,1056,6.3,0.3,0,0,0,29.5
17968,"Joe Burrow",CIN,qb,clay|cbs|nfl,16.5,31.3,182,2.7,0,0,0,1.3,4638,35.3,11,31.2
17971,"Tee Higgins",CIN,wr,clay|cbs|nfl,16,0,0,0,88.7,1129.7,9.3,0.7,0,0,0,31.6
14725,"Tyreek Hill",MIA,wr,clay|cbs|nfl,16.5,2.7,28.3,0,93.7,1193.7,7.7,0.3,0,0,0,32.5
21126,"Jayden Daniels",WAS,qb,clay|cbs|nfl,16.5,97.3,794.7,6,0,0,0,0.3,3909,27.3,11.3,33.2
19427,"Breece Hall",NYJ,rb,clay|cbs|nfl,16,139.3,961,5.3,46.3,390.7,2.3,1.3,0,0,0,35
21121,"Marvin Harrison Jr.",ARZ,wr,clay|cbs|nfl,16.5,0,5.3,0,77,1085.3,8,0.7,0,0,0,36.1
12729,"Davante Adams",LAR,wr,clay|cbs|nfl,16.5,0,0,0,87.3,1175.3,9,0.3,0,0,0,38.3
19467,"James Cook",BUF,rb,clay|cbs|nfl,16,157.7,1091.3,10.3,33.7,272,2,1,0,0,0,38.9
17999,"Jalen Hurts",PHI,qb,clay|cbs|nfl,16.5,105,656.3,13.3,0,0,0,1.3,3509.3,24,9.3,39.4
22069,"Omarion Hampton",LAC,rb,clay|cbs|nfl,16,154,995.3,9,35.3,289.3,1.7,1.7,0,0,0,40.8
12686,"Mike Evans",TB,wr,clay|cbs|nfl,16,0,0,0,77.7,1070.7,9.7,0.3,0,0,0,41.2
17062,"Terry McLaurin",WAS,wr,clay|cbs|nfl,16.5,0.7,6.3,0,80.7,1112.7,8.7,0.7,0,0,0,41.4
15360,"George Kittle",SF,te,clay|cbs|nfl,16,0,0,0,76.7,1049.3,8,0.3,0,0,0,43.5
16134,"DJ Moore",CHI,wr,clay|cbs|nfl,16.5,3,32,0,87.7,1030.3,6.7,0.7,0,0,0,43.8
19430,"Kenneth Walker III",SEA,rb,cbs|nfl,15,109.5,927,8.5,40.5,279,1,1.5,0,0,0,44
21128,"Xavier Worthy",KC,wr,clay|cbs|nfl,16.5,6.7,68.7,1,71,893.3,7.7,0.3,0,0,0,46.6
20287,"Rashee Rice",KC,wr,clay|cbs|nfl,12.5,0.3,6.3,0,74.7,846.7,6.3,0.3,0,0,0,47.6
15293,"Alvin Kamara",NO,rb,clay|cbs|nfl,15.5,153.7,958.7,5.3,67,518.7,2,1,0,0,0,48.1
16066,"Courtland Sutton",DEN,wr,clay|cbs|nfl,16.5,0,0,0,75.3,1005.7,7.7,0.7,0,0,0,48.4
18773,"Chuba Hubbard",CAR,rb,clay|cbs|nfl,16,162.7,1089.7,8,43.3,258.7,1,1.3,0,0,0,48.9
17002,"DK Metcalf",PIT,wr,clay|cbs|nfl,16.5,0,2,0,78.3,1163.3,7.3,1,0,0,0,49.1
19435,"Jameson Williams",DET,wr,clay|cbs|nfl,16.5,3.3,47,0.7,61.3,983,6,0.3,0,0,0,53.6
22059,"Tetairoa McMillan",CAR,wr,clay|cbs|nfl,16.5,0,9,0,74.3,976.3,6,1,0,0,0,53.7
18778,"DeVonta Smith",PHI,wr,clay|cbs|nfl,16.5,0,1.7,0,81.7,970.7,7,0.3,0,0,0,54.5
20288,"Zay Flowers",BLT,wr,clay|cbs|nfl,16.5,3.3,35.3,0,71.7,1006.3,6,0.3,0,0,0,57.2
22072,"TreVeyon Henderson",NE,rb,clay|cbs|nfl,16.5,146,956.3,6,38.3,303.7,1.7,1.3,0,0,0,57.4
15306,"James Conner",ARZ,rb,clay|cbs|nfl,16,146,989.7,8,42.7,336.3,2,1,0,0,0,57.4
15234,"Patrick Mahomes",KC,qb,clay|cbs|nfl,16.5,48,346.7,2.7,0,0,0,0.7,4283.3,31,12,59.8
19437,"George Pickens",DAL,wr,clay|cbs|nfl,16.5,0.7,9.3,0,71,1036,6.7,0.7,0,0,0,62.5
17964,"Jerry Jeudy",CLV,wr,clay|cbs|nfl,16.5,0,6,0,82.7,1096.7,4.3,0.3,0,0,0,63.2
18781,"Jaylen Waddle",MIA,wr,clay|cbs|nfl,16.5,1.3,15.3,0,76.3,993,5,0.3,0,0,0,63.9
16065,"Calvin Ridley",TEN,wr,clay|cbs|nfl,16.5,2.7,27.7,0,68.3,1043.3,6,0.7,0,0,0,64.4
20339,"Sam LaPorta",DET,te,clay|cbs|nfl,16.5,0,0,0,69.7,766,6.7,0.3,0,0,0,65.1
17016,"David Montgomery",DET,rb,clay|cbs|nfl,16,138.3,835.3,9,32,261.3,0.7,0.7,0,0,0,66.8
20335,"Rome Odunze",CHI,wr,clay|cbs|nfl,16.5,0.7,7.7,0,67.3,936.7,5.7,0.7,0,0,0,67.5
16069,"Baker Mayfield",TB,qb,clay|cbs|nfl,16.5,41,292.3,2.7,0,0,0,1,4156.7,33,15,68
17961,"D'Andre Swift",CHI,rb,clay|cbs|nfl,16,160,963.3,6,38.3,303.7,1,0.7,0,0,0,69.8
22098,"Kaleb Johnson",PIT,rb,clay|cbs|nfl,16.5,145.3,878.7,7,21.3,169,1,1.3,0,0,0,72
16066,"Joe Mixon",HST,rb,clay|cbs|nfl,13,127.7,751.3,7.3,32.3,258.7,1.3,0.7,0,0,0,72.7
19432,"Chris Olave",NO,wr,clay|cbs|nfl,16,0,1.7,0,76.3,961,4,1,0,0,0,73.2
15392,"Aaron Jones",MIN,rb,clay|cbs|nfl,16,123.3,859.3,4,45,342.3,2.3,1.3,0,0,0,74.4
20299,"Bo Nix",DEN,qb,clay|cbs|nfl,16.5,58.3,426,4,0,0,0,0,3772.3,27.3,11.7,76.2
17061,"Jakobi Meyers",LV,wr,clay|cbs|nfl,16.5,0.7,7.7,0,82.7,957.7,5.3,0.3,4.7,0,0,76.4
