PLAYER,TEAM,GP,RuATT,RuYDS,RuAVG,RuTD,TGT,REC,ReYDS,ReYDS/G,ReAVG,ReTD,FL,FPTS,FPPG
"Saquon Barkley",PHI,17,319,1797,5.6,10,51,39,301,17.7,7.7,2,1,262,15.4
"Jahmyr Gibbs",DET,17,226,1276,5.7,11,72,56,538,31.6,9.6,3,1,248,14.6
"Derrick Henry",BLT,17,275,1575,5.7,13,24,19,201,11.8,10.6,1,1,243,14.3
"Bijan Robinson",ATL,17,284,1394,4.9,11,72,58,426,25.1,7.3,2,1,243,14.3
"Josh Jacobs",GB,17,303,1327,4.4,13,47,38,375,22.1,9.9,1,1,236,13.9
"Kyren Williams",LAR,17,289,1260,4.4,12,43,35,197,11.6,5.6,3,3,214,12.6
"Jonathan Taylor",IND,17,307,1425,4.6,9,40,25,187,11.0,7.5,2,1,210,12.4
"Christian McCaffrey",SF,17,217,1076,5.0,7,73,58,550,32.4,9.5,3,2,203,11.9
"Ashton Jeanty",LV,17,272,1112,4.1,10,56,43,394,23.2,9.2,2,4,199,11.7
"Bucky Irving",TB,17,243,1225,5.0,9,42,38,321,18.9,8.5,1,1,195,11.5
"De'Von Achane",MIA,17,172,869,5.1,6,77,68,525,30.9,7.7,6,1,194,11.4
"Alvin Kamara",NO,17,245,1085,4.4,5,92,71,546,32.1,7.7,2,1,187,11.0
"James Cook",BUF,17,209,1007,4.8,11,38,31,275,16.2,8.9,2,1,187,11.0
"Chase Brown",CIN,17,211,882,4.2,8,72,60,413,24.3,6.9,4,1,183,10.8
"James Conner",ARZ,17,206,970,4.7,7,51,43,373,21.9,8.7,2,1,170,10.0
"Kenneth Walker III",SEA,17,219,899,4.1,10,60,51,338,19.9,6.6,1,1,169,9.9
"Breece Hall",NYJ,17,190,869,4.6,6,68,51,455,26.8,8.9,3,2,166,9.8
"Chuba Hubbard",CAR,17,213,986,4.6,9,56,45,212,12.5,4.7,1,2,159,9.4
"D'Andre Swift",CHI,17,228,1006,4.4,5,54,42,364,21.4,8.7,1,1,155,9.1
"David Montgomery",DET,17,209,870,4.2,9,35,31,292,17.2,9.4,0,1,153,9.0
"TreVeyon Henderson",NE,17,215,1037,4.8,6,40,31,270,15.9,8.7,1,3,151,8.9
"Aaron Jones",MIN,17,190,983,5.2,4,59,47,367,21.6,7.8,2,2,150,8.8
"Joe Mixon",HST,17,191,750,3.9,8,52,38,316,18.6,8.3,1,1,141,8.3
"Omarion Hampton",LAC,17,207,802,3.9,7,37,28,287,16.9,10.3,2,3,139,8.2
"RJ Harvey",DEN,17,204,879,4.3,6,36,27,242,14.2,9.0,2,3,138,8.1
"Tony Pollard",TEN,17,232,981,4.2,5,53,39,249,14.6,6.4,0,1,133,7.8
"Tank Bigsby",JAX,17,182,827,4.5,8,10,6,45,2.6,7.5,0,1,120,7.1
"Kaleb Johnson",PIT,17,207,821,4.0,6,19,14,142,8.4,10.1,1,3,115,6.8
