player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
16062,"Saquon Barkley",PHI,17,319,1797,10,39,301,2,1,0,0,0,4.89
20272,"Jahmyr Gibbs",DET,17,226,1276,11,56,538,3,1,0,0,0,4.3
15055,"Derrick Henry",BLT,17,275,1575,13,19,201,1,1,0,0,0,13.83
20271,"Bijan Robinson",ATL,17,284,1394,11,58,426,2,1,0,0,0,2.64
16998,"Josh Jacobs",GB,17,303,1327,13,38,375,1,1,0,0,0,22.79
19450,"Kyren Williams",LAR,17,289,1260,12,35,197,3,3,0,0,0,27.98
17962,"Jonathan Taylor",IND,17,307,1425,9,25,187,2,1,0,0,0,22.6
15222,"Christian McCaffrey",SF,17,217,1076,7,58,550,3,2,0,0,0,12.36
22055,"Ashton Jeanty",LV,17,272,1112,10,43,394,2,4,0,0,0,10.62
21136,"Bucky Irving",TB,17,243,1225,9,38,321,1,1,0,0,0,21.03
20284,"De'Von Achane",MIA,17,172,869,6,68,525,6,1,0,0,0,13.85
15293,"Alvin Kamara",NO,17,245,1085,5,71,546,2,1,0,0,0,48.13
19467,"James Cook",BUF,17,209,1007,11,31,275,2,1,0,0,0,38.91
20292,"Chase Brown",CIN,17,211,882,8,60,413,4,1,0,0,0,25.03
15306,"James Conner",ARZ,17,206,970,7,43,373,2,1,0,0,0,57.39
19427,"Breece Hall",NYJ,17,190,869,6,51,455,3,2,0,0,0,34.99
18773,"Chuba Hubbard",CAR,17,213,986,9,45,212,1,2,0,0,0,48.87
17961,"D'Andre Swift",CHI,17,228,1006,5,42,364,1,1,0,0,0,69.75
17016,"David Montgomery",DET,17,209,870,9,31,292,0,1,0,0,0,66.78
22072,"TreVeyon Henderson",NE,17,215,1037,6,31,270,1,3,0,0,0,57.35
15392,"Aaron Jones",MIN,17,190,983,4,47,367,2,2,0,0,0,74.41
16066,"Joe Mixon",HST,17,191,750,8,38,316,1,1,0,0,0,72.67
22069,"Omarion Hampton",LAC,17,207,802,7,28,287,2,3,0,0,0,40.83
22111,"RJ Harvey",DEN,17,204,879,6,27,242,2,3,0,0,0,79.55
17067,"Tony Pollard",TEN,17,232,981,5,39,249,0,1,0,0,0,77.34
20279,"Tank Bigsby",JAX,17,182,827,8,6,45,0,1,0,0,0,138.63
22098,"Kaleb Johnson",PIT,17,207,821,6,14,142,1,3,0,0,0,72.02
19872,"Jordan Mason",MIN,17,181,913,4,14,113,0,1,0,0,0,106.5
19469,"Zach Charbonnet",SEA,17,122,533,6,37,294,1,1,0,0,0,107.71
18791,"Rhamondre Stevenson",NE,17,151,654,6,33,187,1,2,0,0,0,123.1
22062,"Quinshon Judkins",CLV,17,177,694,5,18,153,1,2,0,0,0,110.17
16067,"Nick Chubb",HST,17,164,653,6,12,88,1,1,0,0,0,181.96
22130,"Jacory Croskey-Merritt",WAS,17,123,586,5,24,222,1,2,0,0,0,218.07
19486,"Isiah Pacheco",KC,17,188,713,4,29,182,0,1,0,0,0,76.57
20304,"Kendre Miller",NO,17,138,590,7,10,85,0,1,0,0,0,243.53
18770,"Travis Etienne",JAX,17,151,599,4,38,286,0,1,0,0,0,99.34
17963,"J.K. Dobbins",DEN,17,146,684,5,26,107,0,1,0,0,0,113.17
19436,"Rachaad White",TB,17,116,510,3,30,243,3,2,0,0,0,149.94
15896,"Austin Ekeler",WAS,17,83,397,4,46,396,1,1,0,0,0,169.27
22106,"Bhayshul Tuten",JAX,17,129,535,5,22,216,1,2,0,0,0,159.17
21144,"MarShawn Lloyd",GB,17,138,627,5,11,116,1,2,0,0,0,213.04
21151,"Ray Davis",BUF,17,146,583,4,8,94,2,1,0,0,0,148.55
19833,"Jaylen Warren",PIT,17,124,541,2,48,368,0,1,0,0,0,97.67
21178,"Isaac Guerendo",SF,17,109,539,5,22,217,0,2,0,0,0,147.77
22092,"Jaydon Blue",DAL,17,129,541,4,24,220,1,2,0,0,0,156.99
18826,"Najee Harris",LAC,17,150,563,4,27,215,0,1,0,0,0,122.18
21135,"Trey Benson",ARZ,17,150,735,3,5,48,0,1,0,0,0,146.31
21132,"Braelon Allen",NYJ,17,137,530,4,20,158,1,1,0,0,0,168.01
13794,"Raheem Mostert",LV,17,129,454,5,27,199,1,2,0,0,0,246.11
20329,"Tyjae Spears",TEN,17,113,423,4,32,250,1,1,0,0,0,138.88
18771,"Javonte Williams",DAL,17,123,466,4,39,253,0,1,0,0,0,117.69
20334,"Roschon Johnson",CHI,17,98,326,8,13,84,0,0,0,0,0,193.09
22099,"Dylan Sampson",CLV,17,132,517,3,21,183,1,2,0,0,0,158.59
22077,"Cam Skattebo",NYG,17,112,482,3,23,211,1,2,0,0,0,119.92
21160,"Jaylen Wright",MIA,17,154,673,3,3,10,0,3,0,0,0,167.59
17046,"Ty Johnson",BUF,17,73,363,1,18,244,3,0,0,0,0,274.01
19441,"Tyler Allgeier",ATL,17,122,567,3,13,101,0,1,0,0,0,168.11
19443,"Jerome Ford",CLV,17,90,416,3,35,216,1,1,0,0,0,173.65
18036,"Rico Dowdle",CAR,17,89,452,2,24,148,2,1,0,0,0,169.14
20344,"Keaton Mitchell",BLT,17,93,545,2,9,134,0,0,0,0,0,236.82
17039,"Miles Sanders",DAL,17,105,400,3,18,111,1,1,0,0,0,235.64
22094,"Trevor Etienne",CAR,17,72,324,3,21,178,1,1,0,0,0,272.88
