PLAYER,TEAM,GP,TGT,REC,ReYDS,ReYDS/G,ReAVG,ReTD,FL,FPTS,FPPG
"George Kittle",SF,17,99,78,1138,66.9,14.6,10,0,164,9.6
"Brock Bowers",LV,17,144,105,1168,68.7,11.1,6,0,143,8.4
"Trey McBride",ARZ,17,131,99,1054,62.0,10.7,5,0,134,7.9
"Mark Andrews",BLT,17,78,59,761,44.8,12.9,9,1,119,7.0
"Sam LaPorta",DET,17,89,65,767,45.1,11.8,8,0,117,6.9
"Taysom Hill",NO,17,44,33,274,16.1,8.3,2,1,114,6.7
"Travis Kelce",KC,17,119,88,868,51.1,9.9,5,1,108,6.4
"T.J. Hockenson",MIN,17,105,73,858,50.5,11.8,4,0,102,6.0
"Zach Ertz",WAS,17,94,67,646,38.0,9.6,7,0,98,5.8
"Dallas Goedert",PHI,17,78,62,758,44.6,12.2,5,0,97,5.7
"David Njoku",CLV,17,127,85,699,41.1,8.2,6,1,97,5.7
"Tyler Warren",IND,17,86,58,773,45.5,13.3,5,2,95,5.6
"Tucker Kraft",GB,17,65,48,651,38.3,13.6,6,1,90,5.3
"Isaiah Likely",BLT,17,60,43,553,32.5,12.9,6,1,81,4.8
"Jonnu Smith",PIT,17,61,48,548,32.2,11.4,6,1,81,4.8
"Evan Engram",DEN,17,100,75,603,35.5,8.0,5,1,80,4.7
"Hunter Henry",NE,17,92,62,662,38.9,10.7,4,0,80,4.7
"Darren Waller",MIA,17,76,52,596,35.1,11.5,4,0,76,4.5
"Brenton Strange",JAX,17,75,56,596,35.1,10.6,4,1,74,4.4
"Kyle Pitts",ATL,17,76,47,593,34.9,12.6,4,0,74,4.4
"Tyler Higbee",LAR,17,70,49,460,27.1,9.4,6,0,74,4.4
"Jake Ferguson",DAL,17,100,70,624,36.7,8.9,4,2,73,4.3
"Dalton Kincaid",BUF,17,86,54,560,32.9,10.4,4,0,71,4.2
"Dalton Schultz",HST,17,83,53,559,32.9,10.6,4,0,71,4.2
"Cade Otton",TB,17,76,52,562,33.1,10.8,4,1,71,4.2
"Juwan Johnson",NO,17,66,48,533,31.4,11.1,4,0,70,4.1
"Pat Freiermuth",PIT,17,56,44,459,27.0,10.4,5,1,66,3.9
"Colston Loveland",CHI,17,69,47,500,29.4,10.6,4,1,63,3.7
"Theo Johnson",NYG,17,64,43,524,30.8,12.2,3,0,62,3.6
"Noah Fant",CIN,17,61,46,500,29.4,10.9,3,0,59,3.5
"Tyler Conklin",LAC,17,66,46,483,28.4,10.5,3,0,57,3.4
"Chigoziem Okonkwo",TEN,17,67,49,495,29.1,10.1,3,1,57,3.4
"Mike Gesicki",CIN,17,66,49,504,29.6,10.3,3,1,57,3.4
"Foster Moreau",NO,17,45,33,418,24.6,12.7,4,0,57,3.4
"Mason Taylor",NYJ,17,76,51,506,29.8,9.9,3,2,55,3.2
"Robbie Ouzts",SEA,17,71,48,477,28.1,9.9,3,1,55,3.2
"Cole Kmet",CHI,17,44,36,365,21.5,10.1,4,0,53,3.1
"Will Dissly",LAC,17,60,46,441,25.9,9.6,3,0,53,3.1
"Ja'Tavion Sanders",CAR,17,54,42,433,25.5,10.3,2,0,47,2.8
"Josh Oliver",MIN,17,41,31,366,21.5,11.8,3,0,47,2.8
"Andrew Ogletree",IND,17,36,21,296,17.4,14.1,3,0,39,2.3
"Brock Wright",DET,17,32,26,231,13.6,8.9,4,0,39,2.3
"Noah Gray",KC,17,36,29,301,17.7,10.4,3,0,39,2.3
"AJ Barner",SEA,17,41,32,262,15.4,8.2,3,0,36,2.1
"Tommy Tremble",CAR,17,38,27,250,14.7,9.3,3,1,32,1.9
"Austin Hooper",NE,17,39,29,309,18.2,10.7,2,1,32,1.9
"Jelani Woods",IND,17,25,16,274,16.1,17.1,2,0,31,1.8
"Connor Heyward",PIT,17,32,23,194,11.4,8.4,3,0,30,1.8
"Terrance Ferguson",LAR,17,34,23,247,14.5,10.7,2,1,26,1.5
"Luke Musgrave",GB,17,30,22,211,12.4,9.6,2,0,25,1.5
"Josh Whyle",TEN,17,38,28,254,14.9,9.1,1,0,22,1.3
"Michael Mayer",LV,17,47,31,254,14.9,8.2,1,0,22,1.3
"Grant Calcaterra",PHI,17,23,18,227,13.4,12.6,1,0,21,1.2
"Darnell Washington",PIT,17,33,23,234,13.8,10.2,1,0,21,1.2
"Elijah Arroyo",SEA,17,36,24,239,14.1,10.0,1,1,20,1.2
"Hunter Long",JAX,17,34,24,213,12.5,8.9,1,0,19,1.1
"Jeremy Ruckert",NYJ,17,37,24,192,11.3,8.0,1,0,18,1.1
"Adam Trautman",DEN,17,19,12,148,8.7,12.3,2,0,18,1.1
"Gunnar Helm",TEN,17,29,20,204,12.0,10.2,1,1,17,1.0
"Payne Durham",TB,17,15,12,125,7.4,10.4,2,0,17,1.0
"Harold Fannin Jr.",CLV,17,35,24,216,12.7,9.0,1,1,17,1.0
"Dawson Knox",BUF,17,21,14,174,10.2,12.4,1,0,16,0.9
"Elijah Higgins",ARZ,17,14,11,104,6.1,9.5,2,0,16,0.9
"Lawrence Cager",WAS,17,15,11,114,6.7,10.4,2,0,16,0.9
"Teagan Quitoriano",ATL,17,18,11,178,10.5,16.2,1,0,16,0.9
"Nate Adkins",DEN,13,13,12,91,7.0,7.6,2,0,14,1.1
"Julian Hill",MIA,17,33,21,172,10.1,8.2,1,1,14,0.8
"Luke Schoonmaker",DAL,17,25,18,155,9.1,8.6,1,0,13,0.8
"Colby Parkinson",LAR,17,25,16,163,9.6,10.2,1,0,13,0.8
"Devin Culp",TB,17,15,12,145,8.5,12.1,1,0,12,0.7
"Charlie Kolar",BLT,17,12,10,139,8.2,13.9,1,0,12,0.7
"Giovanni Ricci",MIN,17,17,16,192,11.3,12.0,0,0,12,0.7
"Tanner McLachlan",CIN,17,18,14,137,8.1,9.8,1,0,12,0.7
"Johnny Mundt",JAX,17,25,18,150,8.8,8.3,1,0,12,0.7
"Stone Smartt",NYJ,17,16,12,153,9.0,12.8,1,1,11,0.6
"Jared Wiley",KC,17,16,12,119,7.0,9.9,1,0,11,0.6
"Cam Grandy",CIN,17,18,14,121,7.1,8.6,1,0,11,0.6
"Brevyn Spann-Ford",DAL,17,17,13,125,7.4,9.6,1,0,11,0.6
"Gavin Bartholomew",MIN,17,15,12,131,7.7,10.9,1,0,11,0.6
"Jake Briningstool",KC,17,16,12,121,7.1,10.1,1,0,11,0.6
"Greg Dulcich",NYG,17,21,11,119,7.0,10.8,1,0,11,0.6
"Jackson Hawes",BUF,17,13,10,111,6.5,11.1,1,0,10,0.6
"Ian Thomas",LV,17,20,12,94,5.5,7.8,1,0,10,0.6
"Drew Sample",CIN,17,15,14,111,6.5,7.9,1,0,10,0.6
"Quintin Morris",JAX,17,17,11,90,5.3,8.2,1,0,10,0.6
"Robert Tonyan",KC,17,16,12,109,6.4,9.1,1,0,10,0.6
"Blake Whiteheart",CLV,17,12,11,100,5.9,9.1,1,0,10,0.6
"Brenden Bates",CLV,17,15,11,104,6.1,9.5,1,0,10,0.6
"Tip Reiman",ARZ,17,15,11,95,5.6,8.6,1,0,10,0.6
"Will Mallory",IND,17,16,10,104,6.1,10.4,1,0,10,0.6
"Eric Saubert",SEA,17,16,12,94,5.5,7.8,1,0,10,0.6
"Mitchell Evans",CAR,17,14,11,99,5.8,9.0,1,0,10,0.6
"Jaheim Bell",NE,17,14,11,100,5.9,9.1,1,0,10,0.6
"Luke Lachey",HST,17,14,11,112,6.6,10.2,1,0,10,0.6
"Oronde Gadsden II",LAC,17,13,10,107,6.3,10.7,1,0,10,0.6
"Chris Manhertz",NYG,17,15,11,95,5.6,8.6,1,0,10,0.6
"Caleb Lohner",DEN,17,14,11,102,6.0,9.3,1,0,10,0.6
"Tanner Conner",MIA,17,13,13,96,5.6,7.4,1,0,10,0.6
"Travis Vokolek",ARZ,17,15,11,110,6.5,10.0,1,0,10,0.6
"Thomas Fidone II",NYG,17,14,11,103,6.1,9.4,1,0,10,0.6
