PLAYER,TEAM,GP,TGT,REC,ReYDS,ReYDS/G,ReAVG,ReTD,ATT,RuYDS,RuAVG,RuTD,FL,FPTS,FPPG
"Ja'Marr Chase",CIN,17,167,119,1601,94.2,13.5,14,3,21,7.0,0,0,237,13.9
"Justin Jefferson",MIN,17,155,105,1600,94.1,15.2,8,2,5,2.5,0,0,200,11.8
"Malik Nabers",NYG,17,180,116,1397,82.2,12.0,11,6,2,0.3,0,0,198,11.6
"Brian Thomas Jr.",JAX,17,134,88,1315,77.4,14.9,12,6,46,7.7,0,0,196,11.5
"CeeDee Lamb",DAL,17,175,118,1462,86.0,12.4,8,14,76,5.4,0,1,187,11.0
"Nico Collins",HST,17,121,84,1275,75.0,15.2,11,0,2,0.0,0,0,186,10.9
"Davante Adams",LAR,17,161,95,1315,77.4,13.8,10,1,0,0.0,0,0,183,10.8
"Puka Nacua",LAR,17,159,110,1451,85.4,13.2,6,14,68,4.9,1,0,182,10.7
"Amon-Ra St. Brown",DET,17,138,108,1270,74.7,11.8,10,3,20,6.7,0,1,177,10.4
"Tee Higgins",CIN,17,137,90,1178,69.3,13.1,11,0,0,0.0,0,1,173,10.2
"Mike Evans",TB,17,123,81,1152,67.8,14.2,11,0,0,0.0,0,0,172,10.1
"A.J. Brown",PHI,17,121,79,1203,70.8,15.2,10,0,0,0.0,0,1,170,10.0
"Terry McLaurin",WAS,17,114,77,1066,62.7,13.8,12,2,5,2.5,0,1,168,9.9
"Ladd McConkey",LAC,17,122,88,1261,74.2,14.3,8,0,0,0.0,0,0,166,9.8
"Drake London",ATL,17,143,91,1155,67.9,12.7,9,1,-1,-1.0,0,0,160,9.4
"Tyreek Hill",MIA,17,136,92,1153,67.8,12.5,8,8,47,5.9,0,0,155,9.1
"DK Metcalf",PIT,17,120,73,1169,68.8,16.0,8,0,0,0.0,0,2,151,8.9
"Xavier Worthy",KC,17,104,68,832,48.9,12.2,9,28,134,4.8,3,0,150,8.8
"Marvin Harrison Jr.",ARZ,17,128,68,1000,58.8,14.7,10,0,0,0.0,0,1,148,8.7
"DJ Moore",CHI,17,140,95,1047,61.6,11.0,8,12,67,5.6,0,1,145,8.5
"Jaxon Smith-Njigba",SEA,17,136,99,1101,64.8,11.1,7,4,21,5.3,0,0,144,8.5
