player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
18775,"Ja'Marr Chase",CIN,17,0,0,0,119,1601,14,0,0,0,0,1.16
17972,"Justin Jefferson",MIN,17,0,0,0,105,1600,8,0,0,0,0,5.4
21122,"Malik Nabers",NYG,17,0,0,0,116,1397,11,0,0,0,0,9.69
17965,"CeeDee Lamb",DAL,17,0,0,0,118,1462,8,1,0,0,0,5.87
18836,"Nico Collins",HST,17,0,0,0,84,1275,11,0,0,0,0,14.61
12729,"Davante Adams",LAR,17,0,0,0,95,1315,10,0,0,0,0,38.32
20336,"Puka Nacua",LAR,17,0,0,0,110,1451,6,0,0,0,0,12.43
18827,"Amon-Ra St. Brown",DET,17,0,0,0,108,1270,10,1,0,0,0,10.29
17971,"Tee Higgins",CIN,17,0,0,0,90,1178,11,1,0,0,0,31.55
12686,"Mike Evans",TB,17,0,0,0,81,1152,11,0,0,0,0,41.23
17004,"A.J. Brown",PHI,17,0,0,0,79,1203,10,1,0,0,0,21.09
17062,"Terry McLaurin",WAS,17,0,0,0,77,1066,12,1,0,0,0,41.35
21139,"Ladd McConkey",LAC,17,0,0,0,88,1261,8,0,0,0,0,22.17
19433,"Drake London",ATL,17,0,0,0,91,1155,9,0,0,0,0,16.58
14725,"Tyreek Hill",MIA,17,0,0,0,92,1153,8,0,0,0,0,32.51
17002,"DK Metcalf",PIT,17,0,0,0,73,1169,8,2,0,0,0,49.08
21128,"Xavier Worthy",KC,17,0,0,0,68,832,9,0,0,0,0,46.63
16134,"DJ Moore",CHI,17,0,0,0,95,1047,8,1,0,0,0,43.8
20273,"Jaxon Smith-Njigba",SEA,17,0,0,0,99,1101,7,0,0,0,0,29.52
18778,"DeVonta Smith",PHI,17,0,0,0,76,960,9,0,0,0,0,54.53
19435,"Jameson Williams",DET,17,0,0,0,53,903,7,0,0,0,0,53.56
20288,"Zay Flowers",BLT,17,0,0,0,71,1027,6,0,0,0,0,57.21
19437,"George Pickens",DAL,17,0,0,0,72,1062,6,1,0,0,0,62.46
16066,"Courtland Sutton",DEN,17,0,0,0,76,996,7,1,0,0,0,48.42
16065,"Calvin Ridley",TEN,17,0,0,0,64,1017,5,1,0,0,0,64.44
19431,"Garrett Wilson",NYJ,17,0,0,0,89,1022,6,2,0,0,0,28.34
17061,"Jakobi Meyers",LV,17,0,0,0,81,977,6,0,0,0,0,76.39
17964,"Jerry Jeudy",CLV,17,0,0,0,80,1074,4,0,0,0,0,63.18
21146,"Ricky Pearsall",SF,17,0,0,0,60,852,7,0,0,0,0,83.08
15316,"Chris Godwin",TB,17,0,0,0,78,919,6,0,0,0,0,79.69
18785,"Rashod Bateman",BLT,17,0,0,0,47,793,8,0,0,0,0,145.16
17995,"Michael Pittman",IND,17,0,0,0,82,995,5,1,0,0,0,108.54
17019,"Deebo Samuel",WAS,17,0,0,0,65,734,5,1,0,0,0,82.61
20287,"Rashee Rice",KC,17,0,0,0,72,836,7,0,0,0,0,47.58
20274,"Jordan Addison",MIN,14,0,0,0,55,781,7,0,0,0,0,78.17
18169,"Darnell Mooney",ATL,17,0,0,0,62,956,5,0,0,0,0,119.89
22058,"Travis Hunter",JAX,17,0,0,0,66,963,5,2,0,0,0,77.72
20311,"Jayden Reed",GB,17,0,0,0,49,760,6,1,0,0,0,95.26
22059,"Tetairoa McMillan",CAR,17,0,0,0,70,938,5,2,0,0,0,53.66
22085,"Matthew Golden",GB,17,0,0,0,56,926,5,2,0,0,0,103.85
19463,"Alec Pierce",IND,17,0,0,0,36,820,6,0,0,0,0,213.75
20283,"Josh Downs",IND,17,0,0,0,68,824,6,0,0,0,0,97.63
18781,"Jaylen Waddle",MIA,17,0,0,0,68,929,4,0,0,0,0,63.9
18033,"Jauan Jennings",SF,17,0,0,0,65,860,5,0,0,0,0,80.98
