Running Back,Team,PosRk,FFPt,G,Carry,RuYds,RuTD,Targ,Rec,ReYd,ReTD,Car%,Targ%
"Bijan Robinson",ATL,1,336,17,303,1422,12,79,62,490,2,65%,15%
"Saquon Barkley",PHI,2,325,17,332,1600,11,64,48,378,2,65%,14%
"Christian McCaffrey",SF,3,322,17,261,1189,9,90,72,612,3,60%,17%
"Jahmyr Gibbs",DET,4,317,17,235,1154,11,82,60,568,3,49%,15%
"De'Von Achane",MIA,5,306,17,218,999,9,89,74,560,4,54%,15%
"Ashton Jeanty",LV,6,298,17,273,1248,8,80,63,483,2,69%,14%
"Jonathan Taylor",IND,7,288,17,342,1578,11,45,33,250,1,74%,9%
"Bucky Irving",TB,8,283,17,263,1235,8,65,53,410,3,59%,12%
"Josh Jacobs",GB,9,282,17,301,1289,12,53,42,329,2,68%,10%
"Chase Brown",CIN,10,281,17,256,1081,9,79,64,427,2,72%,13%
"Derrick Henry",BLT,11,281,17,326,1529,15,23,18,157,1,63%,5%
"Kyren Williams",LAR,12,279,17,313,1377,12,46,36,235,2,70%,8%
"James Cook",BUF,13,268,17,264,1232,12,45,37,284,2,55%,9%
"Ken Walker III",SEA,14,265,17,282,1173,9,63,50,364,2,64%,12%
"Alvin Kamara",NO,15,265,17,216,916,6,94,71,575,2,52%,17%
"Omarion Hampton",LAC,16,259,17,255,1144,11,53,41,300,2,61%,10%
"Chuba Hubbard",CAR,17,257,17,275,1237,8,61,48,292,1,70%,11%
"James Conner",ARZ,18,250,17,232,1048,9,53,46,344,2,52%,10%
"D'Andre Swift",CHI,19,227,17,252,1035,8,48,37,294,1,58%,9%
"Breece Hall",NYJ,20,223,17,228,1009,5,60,45,387,2,49%,13%
"TreVeyon Henderson",NE,21,222,17,223,992,6,56,43,329,2,49%,11%
"David Montgomery",DET,22,213,17,206,850,10,43,36,272,1,43%,8%
"Aaron Jones",MIN,23,213,17,180,797,4,67,52,390,3,46%,12%
"Isiah Pacheco",KC,24,211,17,209,887,7,53,43,301,2,54%,9%
"Tony Pollard",TEN,25,210,17,229,988,5,60,45,293,1,55%,11%
"Tyrone Tracy Jr.",NYG,26,206,17,218,949,6,53,39,297,2,52%,10%
"Jaylen Warren",PIT,27,204,17,160,709,4,71,56,407,2,35%,13%
"RJ Harvey",DEN,28,202,17,183,814,5,60,46,353,2,42%,11%
"Joe Mixon",HST,29,198,13,192,814,8,42,32,265,2,47%,8%
"Kaleb Johnson",PIT,30,189,17,229,975,7,33,25,180,1,50%,6%
"Rhamondre Stevenson",NE,31,174,17,186,776,7,38,29,199,2,41%,8%
"Quinshon Judkins",CLV,32,173,15,193,841,5,40,31,222,1,49%,7%
"J.K. Dobbins",DEN,33,172,17,157,707,5,49,38,252,1,36%,9%
"Javonte Williams",DAL,34,163,17,162,642,6,47,36,240,1,39%,8%
"Austin Ekeler",WAS,35,162,17,80,347,4,62,51,421,2,18%,12%
"Tyjae Spears",TEN,36,158,17,133,561,4,52,40,299,1,32%,10%
"Travis Etienne",JAX,37,153,17,129,532,3,58,44,333,1,32%,10%
"Tank Bigsby",JAX,38,143,17,182,793,6,23,17,122,0,45%,4%
"Cam Skattebo",NYG,39,140,17,147,635,4,37,28,209,1,35%,7%
"Brian Robinson Jr.",WAS,40,133,17,146,614,6,22,17,127,1,33%,4%
"Rachaad White",TB,41,130,17,116,496,3,38,32,231,2,26%,7%
"Jordan Mason",MIN,42,128,17,176,815,4,17,13,89,0,45%,3%
"Trey Benson",ARZ,43,124,17,138,608,4,27,21,154,1,31%,5%
"Zach Charbonnet",SEA,44,113,17,106,459,3,34,26,187,0,24%,7%
"Nick Chubb",HST,45,112,17,139,607,5,14,10,80,0,34%,2%
"Justice Hill",BLT,46,108,17,41,185,1,50,38,316,2,8%,11%
"Jerome Ford",CLV,47,104,17,98,450,2,32,25,169,1,25%,6%
"Jaydon Blue",DAL,48,102,17,104,434,3,29,23,160,1,25%,5%
"Tyler Allgeier",ATL,49,98,17,121,551,4,13,11,75,0,26%,3%
"Jaylen Wright",MIA,50,96,17,105,445,3,24,18,129,1,26%,4%
"Najee Harris",LAC,51,95,17,113,457,4,17,13,87,0,27%,3%
"Roschon Johnson",CHI,52,88,17,74,302,4,24,19,119,0,17%,5%
"Isaac Guerendo",SF,53,87,17,113,495,4,8,6,48,0,26%,2%
"Jacory Croskey-Merritt",WAS,54,86,17,97,400,4,16,12,88,1,22%,3%
"Braelon Allen",NYJ,55,84,17,107,448,2,18,14,105,0,23%,4%
"Rico Dowdle",CAR,56,84,17,75,338,2,28,21,149,1,19%,5%
"Ray Davis",BUF,57,81,17,106,440,3,10,8,57,0,22%,2%
"MarShawn Lloyd",GB,58,76,17,62,260,2,26,20,143,1,14%,5%
"Woody Marks",HST,59,72,17,49,213,1,28,22,163,1,12%,5%
"Miles Sanders",DAL,60,72,17,95,419,3,12,9,55,0,23%,2%
"Kareem Hunt",KC,61,71,17,66,262,3,18,14,88,1,17%,3%
"Samaje Perine",CIN,62,63,17,46,197,1,21,17,137,1,13%,4%
"Kendre Miller",NO,63,62,17,75,320,2,14,11,75,0,18%,3%
"Dylan Sampson",CLV,64,60,17,64,275,1,17,13,92,0,16%,3%
"Will Shipley",PHI,65,57,17,56,240,2,14,11,76,0,11%,3%
"Kenneth Gainwell",PIT,66,56,17,50,212,2,16,12,87,0,11%,3%
