Tight End,Team,PosRk,FFPt,G,Carry,RuYds,RuTD,Targ,Rec,ReYd,ReTD,Car%,Targ%
"Brock Bowers",LV,1,261,17,6,18,0,149,110,1155,6,2%,26%
"Trey McBride",ARZ,2,259,17,0,0,0,150,113,1088,6,0%,28%
"George Kittle",SF,3,225,17,0,0,0,105,82,1040,7,0%,20%
"Sam LaPorta",DET,4,191,17,0,0,0,103,75,779,6,0%,19%
"T.J. Hockenson",MIN,5,187,17,0,0,0,119,82,811,4,0%,20%
"David Njoku",CLV,6,178,17,0,0,0,110,73,739,5,0%,19%
"Travis Kelce",KC,7,178,17,0,0,0,103,75,727,5,0%,17%
"Mark Andrews",BLT,8,171,17,5,18,0,82,61,657,7,1%,18%
"Evan Engram",DEN,9,169,17,2,6,0,108,80,717,3,1%,20%
"Tyler Warren",IND,10,166,17,5,20,0,95,65,691,5,1%,19%
"Tucker Kraft",GB,11,160,17,0,0,0,90,63,723,4,0%,17%
"Dallas Goedert",PHI,12,157,17,3,12,0,83,65,683,4,1%,18%
"Colston Loveland",CHI,13,156,17,0,0,0,90,61,665,5,0%,17%
"Jake Ferguson",DAL,14,149,17,0,0,0,94,66,633,3,0%,16%
"Dalton Kincaid",BUF,15,147,17,0,0,0,86,56,679,4,0%,17%
"Hunter Henry",NE,16,147,17,0,0,0,81,55,584,5,0%,16%
"Darren Waller",MIA,17,144,17,0,0,0,86,57,667,3,0%,15%
"Kyle Pitts",ATL,18,143,17,0,0,0,80,50,668,4,0%,15%
"Cade Otton",TB,19,143,17,0,0,0,80,54,574,5,0%,15%
"Zach Ertz",WAS,20,140,17,0,0,0,81,57,511,5,0%,15%
"Brenton Strange",JAX,21,140,17,0,0,0,86,61,583,3,0%,15%
"Chigoziem Okonkwo",TEN,22,135,17,0,0,0,82,58,592,3,0%,15%
"Jonnu Smith",PIT,23,135,17,5,19,0,77,56,568,3,1%,14%
"Pat Freiermuth",PIT,24,134,17,0,0,0,82,62,541,3,0%,15%
"Mason Taylor",NYJ,25,129,17,0,0,0,79,55,570,3,0%,17%
"Tyler Higbee",LAR,26,124,17,0,0,0,74,52,483,4,0%,13%
"Dalton Schultz",HST,27,122,17,0,0,0,77,51,556,3,0%,14%
"Theo Johnson",NYG,28,122,17,0,0,0,74,51,547,3,0%,14%
"Elijah Arroyo",SEA,29,117,17,0,0,0,68,46,512,3,0%,13%
"Mike Gesicki",CIN,30,115,17,0,0,0,67,49,454,4,0%,11%
"Juwan Johnson",NO,31,114,17,0,0,0,72,51,505,2,0%,13%
"Isaiah Likely",BLT,32,113,17,0,0,0,55,38,459,5,0%,12%
"Ja'Tavion Sanders",CAR,33,102,17,0,0,0,61,44,443,2,0%,11%
"Noah Fant",CIN,34,85,17,0,0,0,49,37,348,2,0%,8%
"A.J. Barner",SEA,35,81,17,0,0,0,47,33,336,2,0%,9%
"Will Dissly",LAC,36,74,17,0,0,0,45,34,311,2,0%,8%
"Michael Mayer",LV,37,73,17,0,0,0,46,32,315,2,0%,8%
"Noah Gray",KC,38,70,17,0,0,0,40,30,267,2,0%,7%
"Foster Moreau",NO,39,64,17,0,0,0,36,25,273,2,0%,7%
"Austin Hooper",NE,40,59,17,0,0,0,36,25,246,2,0%,7%
"Oronde Gadsden II",LAC,41,57,17,0,0,0,34,23,237,2,0%,6%
"Ben Sinnott",WAS,42,56,17,0,0,0,32,23,226,2,0%,6%
"Tommy Tremble",CAR,43,51,17,0,0,0,30,20,206,2,0%,6%
"Gunnar Helm",TEN,44,50,17,0,0,0,30,20,208,1,0%,6%
"Terrance Ferguson",LAR,45,49,17,0,0,0,29,20,203,2,0%,5%
"Dawson Knox",BUF,46,47,17,0,0,0,25,17,185,2,0%,5%
"Harold Fannin Jr.",CLV,47,45,17,0,0,0,29,20,197,1,0%,5%
"Cole Kmet",CHI,48,44,17,0,0,0,27,21,171,1,0%,5%
"Josh Oliver",MIN,49,43,17,0,0,0,24,17,166,2,0%,4%
"Tyler Conklin",LAC,50,41,17,0,0,0,25,17,167,1,0%,5%
"Cade Stover",HST,51,36,17,0,0,0,22,16,158,1,0%,4%
"Elijah Higgins",ARZ,52,36,17,0,0,0,21,16,143,1,0%,4%
"Luke Musgrave",GB,53,34,17,0,0,0,21,15,143,1,0%,4%
"Adam Trautman",DEN,54,30,17,0,0,0,16,11,116,1,0%,3%
"Luke Schoonmaker",DAL,55,29,17,0,0,0,18,12,112,1,0%,3%
"Julian Hill",MIA,56,25,17,0,0,0,15,10,103,1,0%,3%
"Johnny Mundt",JAX,57,22,17,0,0,0,14,10,90,1,0%,3%
"Charlie Woerner",ATL,58,21,17,0,0,0,14,9,88,1,0%,3%
"Grant Calcaterra",PHI,59,20,17,0,0,0,11,8,82,1,0%,3%
"Josh Whyle",TEN,60,18,17,0,0,0,11,8,72,1,0%,2%
"Jeremy Ruckert",NYJ,61,17,17,0,0,0,12,8,74,0,0%,3%
