player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
21123,"Brock Bowers",LV,17,6,18,0,110,1155,6,0,0,0,0,18.99
19439,"Trey McBride",ARZ,17,0,0,0,113,1088,6,0,0,0,0,26.81
15360,"George Kittle",SF,17,0,0,0,82,1040,7,0,0,0,0,43.5
20339,"Sam LaPorta",DET,17,0,0,0,75,779,6,0,0,0,0,65.05
17014,"T.J. Hockenson",MIN,17,0,0,0,82,811,4,0,0,0,0,81.32
15227,"David Njoku",CLV,17,0,0,0,73,739,5,0,0,0,0,109.45
11842,"Travis Kelce",KC,17,0,0,0,75,727,5,0,0,0,0,86.82
16075,"Mark Andrews",BLT,17,5,18,0,61,657,7,0,0,0,0,94.97
15238,"Evan Engram",DEN,17,2,6,0,80,717,3,0,0,0,0,102.9
22067,"Tyler Warren",IND,17,5,20,0,65,691,5,0,0,0,0,113.84
20312,"Tucker Kraft",GB,17,0,0,0,63,723,4,0,0,0,0,123.55
16151,"Dallas Goedert",PHI,17,3,12,0,65,683,4,0,0,0,0,159.94
22075,"Colston Loveland",CHI,17,0,0,0,61,665,5,0,0,0,0,147.61
19476,"Jake Ferguson",DAL,17,0,0,0,66,633,3,0,0,0,0,143.15
20300,"Dalton Kincaid",BUF,17,0,0,0,56,679,4,0,0,0,0,136.71
14968,"Hunter Henry",NE,17,0,0,0,55,584,5,0,0,0,0,179.99
13738,"Darren Waller",MIA,17,0,0,0,57,667,3,0,0,0,0,246.1
18789,"Kyle Pitts",ATL,17,0,0,0,50,668,4,0,0,0,0,149.37
19632,"Cade Otton",TB,17,0,0,0,54,574,5,0,0,0,0,205.83
11816,"Zach Ertz",WAS,17,0,0,0,57,511,5,0,0,0,0,180.78
20425,"Brenton Strange",JAX,17,0,0,0,61,583,3,0,0,0,0,193.29
15319,"Jonnu Smith",PIT,17,5,19,0,56,568,3,0,0,0,0,139.46
18792,"Pat Freiermuth",PIT,17,0,0,0,62,541,3,0,0,0,0,191.87
22120,"Mason Taylor",NYJ,17,0,0,0,55,570,3,0,0,0,0,219.25
14743,"Tyler Higbee",LAR,17,0,0,0,52,483,4,0,0,0,0,251.91
16255,"Dalton Schultz",HST,17,0,0,0,51,556,3,0,0,0,0,233
21181,"Theo Johnson",NYG,17,0,0,0,51,547,3,0,0,0,0,248.33
22121,"Elijah Arroyo",SEA,17,0,0,0,46,512,3,0,0,0,0,249.26
16149,"Mike Gesicki",CIN,17,0,0,0,49,454,4,0,0,0,0,202.4
18582,"Juwan Johnson",NO,17,0,0,0,51,505,2,0,0,0,0,238.45
19464,"Isaiah Likely",BLT,17,0,0,0,38,459,5,0,0,0,0,173.36
21143,"Ja'Tavion Sanders",CAR,17,0,0,0,44,443,2,0,0,0,0,244.42
17021,"Noah Fant",CIN,17,0,0,0,37,348,2,0,0,0,0,268.65
16833,"Will Dissly",LAC,17,0,0,0,34,311,2,0,0,0,0,277.86
20282,"Michael Mayer",LV,17,0,0,0,32,315,2,0,0,0,0,275.34
19128,"Noah Gray",KC,17,0,0,0,30,267,2,0,0,0,0,238.68
17548,"Foster Moreau",NO,17,0,0,0,25,273,2,0,0,0,0,243.55
14374,"Austin Hooper",NE,17,0,0,0,25,246,2,0,0,0,0,267.92
22101,"Oronde Gadsden II",LAC,17,0,0,0,23,237,2,0,0,0,0,271.78
21164,"Ben Sinnott",WAS,17,0,0,0,23,226,2,0,0,0,0,271.31
18807,"Tommy Tremble",CAR,17,0,0,0,20,206,2,0,0,0,0,243.77
22123,"Gunnar Helm",TEN,17,0,0,0,20,208,1,0,0,0,0,248.92
22206,"Terrance Ferguson",LAR,17,0,0,0,20,203,2,0,0,0,0,268.93
17088,"Dawson Knox",BUF,17,0,0,0,17,185,2,0,0,0,0,271.62
22095,"Harold Fannin Jr.",CLV,17,0,0,0,20,197,1,0,0,0,0,273.1
18010,"Cole Kmet",CHI,17,0,0,0,21,171,1,0,0,0,0,237.88
17082,"Josh Oliver",MIN,17,0,0,0,17,166,2,0,0,0,0,246.05
16379,"Tyler Conklin",LAC,17,0,0,0,17,167,1,0,0,0,0,260.64
21152,"Cade Stover",HST,17,0,0,0,16,158,1,0,0,0,0,243.72
20346,"Elijah Higgins",ARZ,17,0,0,0,16,143,1,0,0,0,0,241.19
20303,"Luke Musgrave",GB,17,0,0,0,15,143,1,0,0,0,0,267.42
20353,"Luke Schoonmaker",DAL,17,0,0,0,12,112,1,0,0,0,0,256.04
20938,"Julian Hill",MIA,17,0,0,0,10,103,1,0,0,0,0,241.11
15555,"Johnny Mundt",JAX,17,0,0,0,10,90,1,0,0,0,0,244.94
18271,"Charlie Woerner",ATL,17,0,0,0,9,88,1,0,0,0,0,241.28
19731,"Grant Calcaterra",PHI,17,0,0,0,8,82,1,0,0,0,0,246.57
20614,"Josh Whyle",TEN,17,0,0,0,8,72,1,0,0,0,0,241.17
19578,"Jeremy Ruckert",NYJ,17,0,0,0,8,74,0,0,0,0,0,241.89
19625,"Daniel Bellinger",NYG,17,0,0,0,8,67,0,0,0,0,0,241.17
18018,"Colby Parkinson",LAR,17,0,0,0,6,57,1,0,0,0,0,241.88
20301,"Darnell Washington",PIT,17,0,0,0,6,55,0,0,0,0,0,241.94
19101,"Brock Wright",DET,17,0,0,0,4,39,0,0,0,0,0,241.34
19124,"Luke Farrell",SF,17,0,0,0,4,39,0,0,0,0,0,241.62
19482,"Charlie Kolar",BLT,17,0,0,0,3,33,0,0,0,0,0,241.33
