Wide Receiver,Team,PosRk,FFPt,G,Carry,RuYds,RuTD,Targ,Rec,ReYd,ReTD,Car%,Targ%
"Ja'Marr Chase",CIN,1,339,17,4,20,0,165,117,1534,11,1%,27%
"Justin Jefferson",MIN,2,324,17,0,0,0,176,116,1459,11,0%,30%
"CeeDee Lamb",DAL,3,315,17,8,49,0,170,117,1437,8,2%,29%
"Puka Nacua",LAR,4,310,17,13,77,1,160,109,1461,7,3%,28%
"Malik Nabers",NYG,5,300,17,4,24,0,169,107,1422,8,1%,32%
"Amon-Ra St. Brown",DET,6,290,17,5,31,0,152,117,1251,7,1%,28%
"Nico Collins",HST,7,279,17,0,0,0,143,98,1344,8,0%,26%
"A.J. Brown",PHI,8,275,17,0,0,0,142,91,1341,8,0%,31%
"Brian Thomas Jr.",JAX,9,271,17,4,26,0,150,96,1320,7,1%,26%
"Drake London",ATL,10,267,17,0,0,0,154,97,1203,8,0%,29%
"Tee Higgins",CIN,11,264,17,0,0,0,141,94,1154,9,0%,23%
"Tyreek Hill",MIA,12,263,17,8,50,0,136,94,1187,7,2%,23%
"Davante Adams",LAR,13,257,17,0,0,0,137,85,1171,9,0%,24%
"Ladd McConkey",LAC,14,253,17,0,0,0,140,96,1202,6,0%,25%
"Terry McLaurin",WAS,15,247,17,2,13,0,129,86,1151,7,1%,24%
"Xavier Worthy",KC,16,243,17,20,114,2,117,77,1008,7,5%,20%
"DK Metcalf",PIT,17,240,17,0,0,0,137,82,1180,7,0%,25%
"Jaxon Smith-Njigba",SEA,18,240,17,7,40,0,130,89,1089,6,2%,25%
"Marvin Harrison Jr.",ARZ,19,240,17,0,0,0,139,83,1144,7,0%,26%
"Garrett Wilson",NYJ,20,240,17,5,26,0,143,90,1157,5,1%,31%
"DJ Moore",CHI,21,238,17,9,50,0,133,88,1065,6,2%,25%
"Mike Evans",TB,22,234,17,0,0,0,121,79,1017,9,0%,22%
"Jerry Jeudy",CLV,23,234,17,0,0,0,144,91,1216,4,0%,25%
"Zay Flowers",BLT,24,232,17,10,63,0,114,74,1073,7,2%,25%
"Calvin Ridley",TEN,25,230,17,8,50,0,131,70,1105,7,2%,24%
"Courtland Sutton",DEN,26,228,17,0,0,0,125,75,1018,9,0%,23%
"Jaylen Waddle",MIA,27,226,17,4,23,0,124,87,1080,5,1%,21%
"DeVonta Smith",PHI,28,223,17,0,0,0,119,88,997,6,0%,26%
"George Pickens",DAL,29,220,17,2,12,0,117,71,1023,7,1%,20%
"Jakobi Meyers",LV,30,219,17,2,12,0,126,88,986,5,1%,22%
"Jameson Williams",DET,31,218,17,10,74,1,109,66,1083,5,2%,20%
"Rome Odunze",CHI,32,217,17,2,13,0,122,72,1014,7,1%,23%
"Tetairoa McMillan",CAR,33,214,17,0,0,0,121,75,1028,6,0%,22%
"Travis Hunter",JAX,34,213,17,4,25,0,121,80,967,6,1%,21%
"Chris Olave",NO,35,207,17,0,0,0,128,83,1007,4,0%,23%
"Khalil Shakir",BUF,36,207,17,0,0,0,111,83,944,5,0%,22%
"Matthew Golden",GB,37,204,17,0,0,0,113,69,957,7,0%,21%
"Cooper Kupp",SEA,38,202,17,2,13,0,115,77,922,5,1%,22%
"Deebo Samuel",WAS,39,201,17,27,121,2,97,63,894,5,6%,18%
"Jauan Jennings",SF,40,201,17,0,0,0,112,73,995,5,0%,21%
"Michael Pittman Jr.",IND,41,201,17,0,0,0,130,87,936,4,0%,26%
"Stefon Diggs",NE,42,201,17,2,13,0,117,82,918,4,1%,23%
"Rashee Rice",KC,43,191,13,1,8,0,99,75,838,5,0%,17%
"Chris Godwin",TB,44,187,13,2,10,0,97,72,816,6,0%,18%
"Ricky Pearsall",SF,45,186,17,4,29,0,100,65,928,4,1%,19%
"Keenan Allen",LAC,46,185,17,0,0,0,112,71,825,5,0%,20%
"Rashid Shaheed",NO,47,184,17,6,39,0,105,62,925,4,2%,19%
"Keon Coleman",BUF,48,181,17,0,0,0,91,51,853,8,0%,18%
"Emeka Egbuka",TB,49,180,17,4,28,0,93,59,791,6,1%,17%
"Josh Downs",IND,50,179,17,0,0,0,110,75,788,4,0%,22%
"Jordan Addison",MIN,51,176,14,2,10,0,101,62,773,6,0%,17%
"Cedric Tillman",CLV,52,168,17,0,0,0,110,64,843,3,0%,19%
"Adam Thielen",CAR,53,168,17,0,0,0,99,73,709,4,0%,18%
"Jayden Reed",GB,54,167,16,14,101,1,83,57,703,4,3%,16%
"Marquise Brown",KC,55,161,17,0,0,0,95,55,761,5,0%,16%
"Darnell Mooney",ATL,56,161,16,0,0,0,95,58,789,4,0%,18%
"Jayden Higgins",HST,57,156,17,0,0,0,88,56,768,4,0%,16%
"Xavier Legette",CAR,58,156,17,8,47,0,94,57,700,4,2%,17%
"Wan'Dale Robinson",NYG,59,152,17,2,13,0,100,69,675,2,1%,19%
"Marvin Mims",DEN,60,150,17,22,108,1,65,44,628,4,5%,12%
"DeMario Douglas",NE,61,140,17,2,14,0,81,56,637,3,1%,16%
"Christian Kirk",HST,62,140,17,0,0,0,82,52,684,3,0%,15%
"Rashod Bateman",BLT,63,133,17,0,0,0,68,43,611,5,0%,15%
"Romeo Doubs",GB,64,128,17,0,0,0,76,48,575,4,0%,14%
"Tyler Lockett",TEN,65,117,17,0,0,0,71,46,497,4,0%,13%
"Michael Wilson",ARZ,66,116,17,0,0,0,70,47,523,3,0%,13%
"Darius Slayton",NYG,67,115,17,2,13,0,69,38,568,3,1%,13%
"Brandon Aiyuk",SF,68,112,12,0,0,0,60,37,579,3,0%,11%
"Josh Palmer",BUF,69,111,17,0,0,0,66,42,505,3,0%,13%
"Ray-Ray McCloud",ATL,70,111,17,9,66,0,65,45,465,2,2%,12%
