Rank,PlayerID,Player,Team,Position,ADP,MinPick,MaxPick,Difference,NumPicks,TeamPick
1,16081,"Lamar Jackson",BLT,QB,23.52,1,44,0,572,0
2,16074,"Josh Allen",BUF,QB,24.32,1,45,0,572,0
3,17968,"Joe Burrow",CIN,QB,31.16,1,70,0,572,0
4,21126,"Jayden Daniels",WAS,QB,33.20,4,68,0,572,0
5,17999,"Jalen Hurts",PHI,QB,39.42,2,69,0,572,0
6,15234,"Patrick Mahomes",KC,QB,59.78,6,112,0,572,0
7,16069,"Baker Mayfield",TB,QB,68.01,9,128,0,572,0
8,20299,"Bo Nix",DEN,QB,76.15,11,136,0,572,0
9,14748,"Jared Goff",DET,QB,90.01,12,180,0,572,0
10,14553,"Dak Prescott",DAL,QB,92.05,15,166,0,572,0
11,17009,"Kyler Murray",ARZ,QB,92.44,20,176,0,572,0
12,21124,"Caleb Williams",CHI,QB,98.02,27,176,0,572,0
13,19742,"Brock Purdy",SF,QB,100.95,22,185,0,572,0
14,17976,"Justin Herbert",LAC,QB,108.92,19,212,0,572,0
15,18783,"Justin Fields",NYJ,QB,110.35,47,188,0,567,0
16,21125,"Drake Maye",NE,QB,113.57,50,179,0,572,0
17,17997,"Jordan Love",GB,QB,116.55,23,212,0,572,0
18,20280,"C.J. Stroud",HST,QB,118.62,30,215,0,572,0
19,21150,"J.J. McCarthy",MIN,QB,128.23,38,220,0,559,0
20,18779,"Trevor Lawrence",JAX,QB,128.39,62,223,0,571,0
21,20298,"Michael Penix",ATL,QB,146.03,61,238,0,545,0
22,20281,"Bryce Young",CAR,QB,156.83,71,240,0,531,0
23,17975,"Tua Tagovailoa",MIA,QB,158.19,64,240,0,498,0
24,7697,"Matthew Stafford",LAR,QB,165.38,56,238,0,444,0
25,20310,"Cam Ward",TEN,QB,174.71,75,240,0,447,0
26,16077,"Sam Darnold",SEA,QB,176.64,35,240,0,379,0
27,11818,"Geno Smith",LV,QB,179.72,70,237,0,378,0
28,20294,"Anthony Richardson",IND,QB,191.74,83,265,0,381,0
29,5712,"Aaron Rodgers",PIT,QB,199.03,104,339,0,315,0
30,10951,"Russell Wilson",NYG,QB,207.56,114,316,0,291,0
31,17008,"Daniel Jones",IND,QB,221.00,121,336,0,286,0
32,22087,"Jaxson Dart",NYG,QB,237.80,140,355,0,292,0
33,12712,"Derek Carr",NO,QB,239.35,130,358,0,31,0
34,22220,"Tyler Shough",NO,QB,240.30,117,356,0,265,0
35,22084,"Riley Leonard",IND,QB,240.95,210,210,0,1,0
36,14696,"Brandon Allen",TEN,QB,241.17,340,340,0,1,0
37,14911,"Carson Wentz",KC,QB,241.17,340,340,0,1,0
38,12708,"Teddy Bridgewater",TB,QB,241.20,358,358,0,1,0
39,18799,"Trey Lance",LAC,QB,241.21,359,359,0,1,0
40,16562,"Kyle Allen",DET,QB,241.25,290,334,0,2,0
41,20322,"Jake Haener",NO,QB,241.26,294,337,0,2,0
42,15231,"Deshaun Watson",CLV,QB,241.35,323,358,0,2,0
43,17012,"Drew Lock",SEA,QB,241.37,338,357,0,2,0
44,11651,"Case Keenum",CHI,QB,241.57,339,356,0,3,0
45,20479,"Stetson Bennett",LAR,QB,241.59,352,354,0,3,0
46,20289,"Hendon Hooker",DET,QB,242.35,287,360,0,8,0
