Rank,PlayerID,Player,Team,Position,ADP,MinPick,MaxPick,Difference,NumPicks,TeamPick
1,20271,"Bijan Robinson",ATL,RB,2.64,1,10,0,572,0
2,20272,"Jahmyr Gibbs",DET,RB,4.30,1,12,0,572,0
3,16062,"Saquon Barkley",PHI,RB,4.89,1,12,0,572,0
4,22055,"Ashton Jeanty",LV,RB,10.62,3,25,0,572,0
5,15222,"Christian McCaffrey",SF,RB,12.36,3,36,0,572,0
6,15055,"Derrick Henry",BLT,RB,13.83,5,24,0,572,0
7,20284,"De'Von Achane",MIA,RB,13.85,6,31,0,572,0
8,21136,"Bucky Irving",TB,RB,21.03,13,35,0,572,0
9,17962,"Jonathan Taylor",IND,RB,22.60,11,39,0,572,0
10,16998,"Josh Jacobs",GB,RB,22.79,7,44,0,572,0
11,20292,"Chase Brown",CIN,RB,25.03,13,48,0,572,0
12,19450,"Kyren Williams",LAR,RB,27.98,13,42,0,572,0
13,19427,"Breece Hall",NYJ,RB,34.99,13,67,0,572,0
14,19467,"James Cook",BUF,RB,38.91,22,57,0,572,0
15,22069,"Omarion Hampton",LAC,RB,40.83,18,88,0,572,0
16,19430,"Kenneth Walker",SEA,RB,44.02,25,77,0,572,0
17,15293,"Alvin Kamara",NO,RB,48.13,21,69,0,572,0
18,18773,"Chuba Hubbard",CAR,RB,48.87,25,66,0,572,0
19,22072,"TreVeyon Henderson",NE,RB,57.35,18,104,0,572,0
20,15306,"James Conner",ARZ,RB,57.39,36,82,0,572,0
21,17016,"David Montgomery",DET,RB,66.78,39,102,0,572,0
22,17961,"D'Andre Swift",CHI,RB,69.75,36,142,0,572,0
23,22098,"Kaleb Johnson",PIT,RB,72.02,31,109,0,572,0
24,16066,"Joe Mixon",HST,RB,72.67,28,168,0,565,0
25,15392,"Aaron Jones",MIN,RB,74.41,46,108,0,572,0
26,19486,"Isiah Pacheco",KC,RB,76.57,49,128,0,572,0
27,17067,"Tony Pollard",TEN,RB,77.34,51,116,0,572,0
28,22111,"RJ Harvey",DEN,RB,79.55,37,349,0,557,0
29,21183,"Tyrone Tracy",NYG,RB,89.80,35,129,0,572,0
30,19468,"Brian Robinson",WAS,RB,90.18,54,139,0,571,0
31,19833,"Jaylen Warren",PIT,RB,97.67,71,161,0,572,0
32,18770,"Travis Etienne",JAX,RB,99.34,42,153,0,570,0
33,19872,"Jordan Mason",MIN,RB,106.50,57,176,0,554,0
34,19469,"Zach Charbonnet",SEA,RB,107.71,69,166,0,570,0
