Rank,PlayerID,Player,Team,Position,ADP,MinPick,MaxPick,Difference,NumPicks,TeamPick
1,21123,"Brock Bowers",LV,TE,18.99,3,32,0,572,0
2,19439,"Trey McBride",ARZ,TE,26.81,13,41,0,572,0
3,15360,"George Kittle",SF,TE,43.50,26,59,0,572,0
4,20339,"Sam LaPorta",DET,TE,65.05,29,94,0,572,0
5,17014,"T.J. Hockenson",MIN,TE,81.32,49,112,0,572,0
6,11842,"Travis Kelce",KC,TE,86.82,48,152,0,571,0
7,16075,"Mark Andrews",BLT,TE,94.97,50,132,0,572,0
8,15238,"Evan Engram",DEN,TE,102.90,69,159,0,569,0
9,15227,"David Njoku",CLV,TE,109.45,73,148,0,572,0
10,22067,"Tyler Warren",IND,TE,113.84,75,157,0,572,0
11,20312,"Tucker Kraft",GB,TE,123.55,81,174,0,568,0
12,20300,"Dalton Kincaid",BUF,TE,136.71,82,170,0,552,0
13,15319,"Jonnu Smith",PIT,TE,139.46,60,234,0,546,0
14,19476,"Jake Ferguson",DAL,TE,143.15,94,179,0,539,0
15,22075,"Colston Loveland",CHI,TE,147.61,102,184,0,520,0
16,18789,"Kyle Pitts",ATL,TE,149.37,100,198,0,542,0
17,16151,"Dallas Goedert",PHI,TE,159.94,78,194,0,510,0
18,19464,"Isaiah Likely",BLT,TE,173.36,105,240,0,487,0
19,14968,"Hunter Henry",NE,TE,179.99,22,236,0,486,0
20,11816,"Zach Ertz",WAS,TE,180.78,84,242,0,504,0
21,18792,"Pat Freiermuth",PIT,TE,191.87,97,288,0,411,0
22,20425,"Brenton Strange",JAX,TE,193.29,122,352,0,477,0
23,16149,"Mike Gesicki",CIN,TE,202.40,134,297,0,415,0
24,19632,"Cade Otton",TB,TE,205.83,138,266,0,373,0
25,19633,"Chig Okonkwo",TEN,TE,207.40,145,260,0,432,0
26,22120,"Mason Taylor",NYJ,TE,219.25,138,358,0,427,0
27,16255,"Dalton Schultz",HST,TE,233.00,168,296,0,303,0
28,18010,"Cole Kmet",CHI,TE,237.88,82,353,0,301,0
29,18582,"Juwan Johnson",NO,TE,238.45,174,329,0,317,0
30,19128,"Noah Gray",KC,TE,238.68,147,336,0,331,0
31,20938,"Julian Hill",MIA,TE,241.11,302,302,0,1,0
32,20614,"Josh Whyle",TEN,TE,241.17,336,336,0,1,0
33,22127,"Luke Lachey",HST,TE,241.17,339,339,0,1,0
34,19625,"Daniel Bellinger",NYG,TE,241.17,341,341,0,1,0
35,20346,"Elijah Higgins",ARZ,TE,241.19,350,350,0,1,0
36,21011,"Nate Adkins",DEN,TE,241.20,353,353,0,1,0
37,16214,"Jordan Akins",CLV,TE,241.27,253,354,0,3,0
38,18271,"Charlie Woerner",ATL,TE,241.28,313,328,0,2,0
39,19482,"Charlie Kolar",BLT,TE,241.33,320,349,0,2,0
40,19921,"Lucas Krull",DEN,TE,241.33,319,354,0,2,0
41,19101,"Brock Wright",DET,TE,241.34,319,355,0,2,0
42,15751,"Robert Tonyan",KC,TE,241.37,332,360,0,2,0
43,22110,"Brant Kuithe",FA,TE,241.38,346,355,0,2,0
44,18801,"Hunter Long",JAX,TE,241.40,352,360,0,2,0
45,19484,"Jelani Woods",IND,TE,241.54,327,357,0,3,0
46,19124,"Luke Farrell",SF,TE,241.62,357,359,0,3,0
47,18018,"Colby Parkinson",LAR,TE,241.88,319,359,0,5,0
48,19578,"Jeremy Ruckert",NYJ,TE,241.89,328,354,0,5,0
49,20301,"Darnell Washington",PIT,TE,241.94,335,357,0,5,0
50,21295,"Erick All",CIN,TE,241.98,320,348,0,6,0
51,18982,"Kylen Granson",PHI,TE,241.99,326,357,0,6,0
52,17548,"Foster Moreau",NO,TE,243.55,197,360,0,15,0
53,21152,"Cade Stover",HST,TE,243.72,321,358,0,15,0
54,18807,"Tommy Tremble",CAR,TE,243.77,300,359,0,15,0
55,21143,"Ja'Tavion Sanders",CAR,TE,244.42,161,326,0,325,0
56,15555,"Johnny Mundt",JAX,TE,244.94,291,359,0,23,0
57,17082,"Josh Oliver",MIN,TE,246.05,312,359,0,27,0
58,13738,"Darren Waller",MIA,TE,246.10,131,352,0,230,0
59,19731,"Grant Calcaterra",PHI,TE,246.57,305,358,0,31,0
60,21181,"Theo Johnson",NYG,TE,248.33,133,330,0,330,0
61,22123,"Gunnar Helm",TEN,TE,248.92,302,360,0,44,0
62,22121,"Elijah Arroyo",SEA,TE,249.26,166,356,0,348,0
63,14743,"Tyler Higbee",LAR,TE,251.91,156,342,0,292,0
64,20353,"Luke Schoonmaker",DAL,TE,256.04,267,360,0,85,0
65,16379,"Tyler Conklin",LAC,TE,260.64,185,360,0,299,0
66,21315,"AJ Barner",SEA,TE,264.19,243,360,0,151,0
67,20303,"Luke Musgrave",GB,TE,267.42,193,360,0,158,0
68,14374,"Austin Hooper",NE,TE,267.92,273,360,0,155,0
69,17021,"Noah Fant",CIN,TE,268.65,175,360,0,279,0
70,22206,"Terrance Ferguson",LAR,TE,268.93,198,357,0,264,0
71,15938,"Taysom Hill",NO,TE,270.02,150,360,0,213,0
72,21164,"Ben Sinnott",WAS,TE,271.31,197,359,0,291,0
73,17088,"Dawson Knox",BUF,TE,271.62,262,360,0,185,0
74,22101,"Oronde Gadsden",LAC,TE,271.78,183,360,0,221,0
75,22095,"Harold Fannin",CLV,TE,273.10,181,360,0,299,0
76,20282,"Michael Mayer",LV,TE,275.34,232,360,0,223,0
77,16833,"Will Dissly",LAC,TE,277.86,206,359,0,271,0
