Rank,PlayerID,Player,Team,Position,ADP,MinPick,MaxPick,Difference,NumPicks,TeamPick
1,18775,"Ja'Marr Chase",CIN,WR,1.16,1,6,0,572,0
2,17972,"Justin Jefferson",MIN,WR,5.40,1,12,0,572,0
3,17965,"CeeDee Lamb",DAL,WR,5.87,2,15,0,572,0
4,21122,"Malik Nabers",NYG,WR,9.69,4,22,0,572,0
5,18827,"Amon-Ra St. Brown",DET,WR,10.29,4,19,0,572,0
6,20336,"Puka Nacua",LAR,WR,12.43,3,23,0,572,0
7,21131,"Brian Thomas",JAX,WR,12.79,4,26,0,572,0
8,18836,"Nico Collins",HST,WR,14.61,6,29,0,572,0
9,19433,"Drake London",ATL,WR,16.58,7,32,0,572,0
10,17004,"A.J. Brown",PHI,WR,21.09,6,36,0,572,0
11,21139,"Ladd McConkey",LAC,WR,22.17,13,41,0,572,0
12,19431,"Garrett Wilson",NYJ,WR,28.34,14,48,0,572,0
13,20273,"Jaxon Smith-Njigba",SEA,WR,29.52,16,45,0,572,0
14,17971,"Tee Higgins",CIN,WR,31.55,14,50,0,572,0
15,14725,"Tyreek Hill",MIA,WR,32.51,11,55,0,572,0
16,21121,"Marvin Harrison",ARZ,WR,36.12,19,57,0,572,0
17,12729,"Davante Adams",LAR,WR,38.32,21,73,0,572,0
18,12686,"Mike Evans",TB,WR,41.23,19,59,0,572,0
19,17062,"Terry McLaurin",WAS,WR,41.35,21,66,0,572,0
20,16134,"DJ Moore",CHI,WR,43.80,22,59,0,572,0
21,21128,"Xavier Worthy",KC,WR,46.63,24,71,0,572,0
22,20287,"Rashee Rice",KC,WR,47.58,15,143,0,572,0
23,16066,"Courtland Sutton",DEN,WR,48.42,28,74,0,572,0
24,17002,"DK Metcalf",PIT,WR,49.08,27,77,0,572,0
25,19435,"Jameson Williams",DET,WR,53.56,34,87,0,572,0
26,22059,"Tetairoa McMillan",CAR,WR,53.66,23,98,0,572,0
27,18778,"DeVonta Smith",PHI,WR,54.53,37,77,0,572,0
28,20288,"Zay Flowers",BLT,WR,57.21,38,79,0,572,0
29,19437,"George Pickens",DAL,WR,62.46,36,110,0,572,0
30,17964,"Jerry Jeudy",CLV,WR,63.18,41,84,0,572,0
31,18781,"Jaylen Waddle",MIA,WR,63.90,44,94,0,572,0
32,16065,"Calvin Ridley",TEN,WR,64.44,33,103,0,572,0
33,20335,"Rome Odunze",CHI,WR,67.48,46,102,0,572,0
34,19432,"Chris Olave",NO,WR,73.22,38,104,0,572,0
35,17061,"Jakobi Meyers",LV,WR,76.39,55,108,0,572,0
36,22058,"Travis Hunter",JAX,WR,77.72,39,226,0,568,0
37,20274,"Jordan Addison",MIN,WR,78.17,53,137,0,572,0
38,15316,"Chris Godwin",TB,WR,79.69,47,168,0,566,0
39,18033,"Jauan Jennings",SF,WR,80.98,53,126,0,572,0
40,17019,"Deebo Samuel",WAS,WR,82.61,49,129,0,572,0
41,21146,"Ricky Pearsall",SF,WR,83.08,48,177,0,572,0
42,19462,"Khalil Shakir",BUF,WR,89.30,62,126,0,572,0
43,13671,"Stefon Diggs",NE,WR,91.80,40,197,0,572,0
44,22063,"Emeka Egbuka",TB,WR,91.87,49,152,0,572,0
45,15283,"Cooper Kupp",SEA,WR,94.56,44,139,0,572,0
46,20311,"Jayden Reed",GB,WR,95.26,61,160,0,571,0
47,20283,"Josh Downs",IND,WR,97.63,66,147,0,572,0
48,22085,"Matthew Golden",GB,WR,103.85,55,185,0,571,0
49,17995,"Michael Pittman",IND,WR,108.54,72,150,0,572,0
50,21130,"Keon Coleman",BUF,WR,119.75,73,191,0,565,0
51,18169,"Darnell Mooney",ATL,WR,119.89,75,202,0,566,0
52,16132,"Christian Kirk",HST,WR,127.21,56,198,0,569,0
53,20293,"Marvin Mims",DEN,WR,129.58,91,169,0,571,0
54,19934,"Rashid Shaheed",NO,WR,134.39,94,189,0,569,0
55,22060,"Luther Burden",CHI,WR,135.42,69,214,0,554,0
56,17983,"Brandon Aiyuk",SF,WR,136.53,59,205,0,519,0
57,22114,"Jayden Higgins",HST,WR,139.17,75,338,0,555,0
58,18785,"Rashod Bateman",BLT,WR,145.16,87,203,0,558,0
59,19460,"Wan'Dale Robinson",NYG,WR,153.83,104,215,0,560,0
60,17007,"Hollywood Brown",KC,WR,155.45,90,211,0,525,0
61,22074,"Tre' Harris",LAC,WR,156.05,85,269,0,514,0
62,20290,"Cedric Tillman",CLV,WR,162.07,101,255,0,526,0
63,11857,"Keenan Allen",LAC,WR,162.61,56,309,0,550,0
64,21153,"Jalen McMillan",TB,WR,164.87,85,245,0,516,0
65,20276,"Quentin Johnston",LAC,WR,167.00,108,294,0,536,0
66,12426,"Adam Thielen",CAR,WR,171.98,94,274,0,555,0
67,21137,"Xavier Legette",CAR,WR,173.32,112,235,0,517,0
68,20341,"DeMario Douglas",NE,WR,175.45,71,270,0,531,0
69,22128,"Kyle Williams",NE,WR,180.37,94,353,0,501,0
70,19455,"Romeo Doubs",GB,WR,182.96,118,247,0,503,0
71,18862,"Joshua Palmer",BUF,WR,191.69,109,340,0,497,0
72,22112,"Jack Bech",LV,WR,201.16,98,337,0,486,0
73,19463,"Alec Pierce",IND,WR,213.75,139,284,0,416,0
74,11806,"DeAndre Hopkins",BLT,WR,218.03,118,311,0,448,0
75,22115,"Pat Bryant",DEN,WR,219.66,137,359,0,454,0
76,22116,"Jaylin Noel",HST,WR,226.90,131,355,0,473,0
77,20340,"Michael Wilson",ARZ,WR,229.25,151,309,0,419,0
78,20337,"Andrei Iosivas",CIN,WR,232.77,153,303,0,425,0
79,13532,"Amari Cooper",BUF,WR,235.39,126,360,0,397,0
80,22126,"Dont'e Thornton",LV,WR,239.95,141,359,0,380,0
81,14512,"Rashard Higgins",CAR,WR,240.82,137,137,0,1,0
82,21458,"Jaylen Johnson",LAC,WR,240.89,178,178,0,1,0
83,18747,"Chris Blair",ATL,WR,240.99,235,235,0,1,0
