Player,Team,Opp,GP,PYds,PTD,Int,RuYds,RuTD,RecYds,ReTD,ReturnTD,FumTD,2PT,FumLost,Points
"Lamar Jackson",BLT,@BUF,16,3619,30,9,832,4,0,0,0,0,1,0,4,351.96
"Josh Allen",BUF,BLT,16,3777,27,11,504,10,0,0,0,0,0,0,3,341.48
"Jalen Hurts",PHI,DAL,16,3475,22,9,535,14,0,0,0,0,0,0,3,340.50
"Jayden Daniels",WAS,NYG,16,3726,26,11,755,6,0,0,0,0,0,0,3,336.54
"Patrick Mahomes",KC,@LAC,16,4223,32,12,335,2,0,0,0,0,0,0,2,314.42
"Joe Burrow",CIN,@CLV,16,4415,34,11,159,2,0,0,0,0,0,0,3,312.50
"Baker Mayfield",TB,@ATL,16,4009,31,13,235,3,0,0,0,0,1,0,4,297.86
"Kyler Murray",ARZ,@NO,16,3621,24,11,549,5,0,0,0,0,0,0,3,297.74
"Brock Purdy",SF,@SEA,16,4163,27,12,272,4,0,0,0,0,0,0,2,297.72
"Bo Nix",DEN,TEN,16,3807,27,12,402,4,0,0,0,0,0,0,3,294.48
"Drake Maye",NE,LV,16,3708,25,13,465,4,0,0,0,0,1,0,4,290.82
"J.J. McCarthy",MIN,@CHI,16,4060,27,13,285,3,0,0,0,0,0,0,3,284.90
"Caleb Williams",CHI,MIN,16,3720,24,12,384,4,0,0,0,0,1,0,4,281.20
"Trevor Lawrence",JAX,CAR,16,3995,26,13,255,3,0,0,0,0,1,0,4,279.30
"Justin Fields",NYJ,PIT,15,2981,16,9,798,7,0,0,0,0,0,0,4,279.04
"Justin Herbert",LAC,KC,16,3880,26,10,234,3,0,0,0,0,0,0,2,276.60
"Dak Prescott",DAL,@PHI,16,4179,28,13,159,2,0,0,0,0,0,0,3,275.06
"C.J. Stroud",HST,@LAR,16,4015,27,11,196,2,0,0,0,0,0,0,3,272.20
"Jared Goff",DET,@GB,16,4221,28,11,63,1,0,0,0,0,0,0,3,265.14
"Bryce Young",CAR,@JAX,16,3613,22,12,297,4,0,0,0,0,1,0,4,260.22
"Jordan Love",GB,DET,16,3907,26,12,166,2,0,0,0,0,0,0,3,258.88
"Tua Tagovailoa",MIA,@IND,15,3975,26,12,96,1,0,0,0,0,0,0,3,248.60
"Cam Ward",TEN,@DEN,16,3380,20,14,392,3,0,0,0,0,1,0,4,242.40
"Matthew Stafford",LAR,HST,15,3972,25,12,48,1,0,0,0,0,0,0,2,241.68
"Geno Smith",LV,@NE,16,3724,22,12,225,2,0,0,0,0,0,0,3,241.46
"Michael Penix Jr.",ATL,TB,16,3610,23,12,198,2,0,0,0,0,0,0,3,238.20
"Aaron Rodgers",PIT,@NYJ,16,3710,22,11,88,1,0,0,0,0,0,0,2,225.20
"Sam Darnold",SEA,SF,15,3456,20,12,187,2,0,0,0,0,0,0,3,218.94
"Russell Wilson",NYG,@WAS,11,2555,14,7,195,2,0,0,0,0,0,0,2,171.70
"Daniel Jones",IND,MIA,10,2171,13,8,318,3,0,0,0,0,0,0,4,164.64
"Tyler Shough",NO,ARZ,10,2224,12,9,194,2,0,0,0,0,1,0,3,150.36
"Anthony Richardson",IND,MIA,7,1380,7,6,355,3,0,0,0,0,1,0,2,126.70
"Joe Flacco",CLV,CIN,9,2175,13,8,35,1,0,0,0,0,0,0,3,126.50
"Spencer Rattler",NO,ARZ,7,1555,8,6,133,1,0,0,0,0,0,0,2,97.50
"Jaxson Dart",NYG,@WAS,4,885,4,4,80,1,0,0,0,0,0,0,1,55.40
"Kenny Pickett",CLV,CIN,3,662,3,3,43,1,0,0,0,0,0,0,1,40.78
"Jameis Winston",NYG,@WAS,2,450,3,2,16,0,0,0,0,0,0,0,0,27.60
"Tyrod Taylor",NYJ,PIT,2,410,2,1,25,0,0,0,0,0,0,0,1,22.90
"Shedeur Sanders",CLV,CIN,2,430,2,2,18,0,0,0,0,0,0,0,1,21.00
"Dillon Gabriel",CLV,CIN,2,410,2,2,20,0,0,0,0,0,0,0,1,20.40
"Jalen Milroe",SEA,SF,5,180,1,1,53,1,0,0,0,0,0,0,1,18.50
"Sam Howell",MIN,@CHI,1,210,2,1,14,0,0,0,0,0,0,0,0,15.80
"Jimmy Garoppolo",LAR,HST,1,220,2,1,6,0,0,0,0,0,0,0,0,15.40
"Malik Willis",GB,DET,1,191,1,1,39,0,0,0,0,0,0,0,0,13.54
"Marcus Mariota",WAS,NYG,1,208,1,1,25,0,0,0,0,0,0,0,0,12.82
"Joshua Dobbs",NE,LV,1,205,1,1,26,0,0,0,0,0,0,0,0,12.80
"Trey Lance",LAC,KC,1,187,1,1,31,0,0,0,0,0,0,0,0,12.58
"Joe Milton III",DAL,@PHI,1,193,1,1,28,0,0,0,0,0,0,0,0,12.52
"Deshaun Watson",CLV,CIN,1,198,1,1,24,0,0,0,0,0,0,0,0,12.32
"Jake Browning",CIN,@CLV,1,211,1,1,15,0,0,0,0,0,0,0,0,11.94
