player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
16081,"Lamar Jackson",BLT,16,0,832,4,0,0,0,0,3619,30,9,23.52
16074,"Josh Allen",BUF,16,0,504,10,0,0,0,0,3777,27,11,24.32
17999,"Jalen Hurts",PHI,16,0,535,14,0,0,0,0,3475,22,9,39.42
21126,"Jayden Daniels",WAS,16,0,755,6,0,0,0,0,3726,26,11,33.2
15234,"Patrick Mahomes",KC,16,0,335,2,0,0,0,0,4223,32,12,59.78
17968,"Joe Burrow",CIN,16,0,159,2,0,0,0,0,4415,34,11,31.16
16069,"Baker Mayfield",TB,16,0,235,3,0,0,0,0,4009,31,13,68.01
17009,"Kyler Murray",ARZ,16,0,549,5,0,0,0,0,3621,24,11,92.44
19742,"Brock Purdy",SF,16,0,272,4,0,0,0,0,4163,27,12,100.95
20299,"Bo Nix",DEN,16,0,402,4,0,0,0,0,3807,27,12,76.15
21125,"Drake Maye",NE,16,0,465,4,0,0,0,0,3708,25,13,113.57
21150,"J.J. McCarthy",MIN,16,0,285,3,0,0,0,0,4060,27,13,128.23
21124,"Caleb Williams",CHI,16,0,384,4,0,0,0,0,3720,24,12,98.02
18779,"Trevor Lawrence",JAX,16,0,255,3,0,0,0,0,3995,26,13,128.39
18783,"Justin Fields",NYJ,15,0,798,7,0,0,0,0,2981,16,9,110.35
17976,"Justin Herbert",LAC,16,0,234,3,0,0,0,0,3880,26,10,108.92
14553,"Dak Prescott",DAL,16,0,159,2,0,0,0,0,4179,28,13,92.05
20280,"C.J. Stroud",HST,16,0,196,2,0,0,0,0,4015,27,11,118.62
14748,"Jared Goff",DET,16,0,63,1,0,0,0,0,4221,28,11,90.01
20281,"Bryce Young",CAR,16,0,297,4,0,0,0,0,3613,22,12,156.83
17997,"Jordan Love",GB,16,0,166,2,0,0,0,0,3907,26,12,116.55
17975,"Tua Tagovailoa",MIA,15,0,96,1,0,0,0,0,3975,26,12,158.19
20310,"Cam Ward",TEN,16,0,392,3,0,0,0,0,3380,20,14,174.71
7697,"Matthew Stafford",LAR,15,0,48,1,0,0,0,0,3972,25,12,165.38
11818,"Geno Smith",LV,16,0,225,2,0,0,0,0,3724,22,12,179.72
5712,"Aaron Rodgers",PIT,16,0,88,1,0,0,0,0,3710,22,11,199.03
16077,"Sam Darnold",SEA,15,0,187,2,0,0,0,0,3456,20,12,176.64
10951,"Russell Wilson",NYG,11,0,195,2,0,0,0,0,2555,14,7,207.56
17008,"Daniel Jones",IND,10,0,318,3,0,0,0,0,2171,13,8,221
22220,"Tyler Shough",NO,10,0,194,2,0,0,0,0,2224,12,9,240.3
20294,"Anthony Richardson",IND,7,0,355,3,0,0,0,0,1380,7,6,191.74
7090,"Joe Flacco",CLV,9,0,35,1,0,0,0,0,2175,13,8,251.19
21413,"Spencer Rattler",NO,7,0,133,1,0,0,0,0,1555,8,6,263.12
22087,"Jaxson Dart",NYG,4,0,80,1,0,0,0,0,885,4,4,237.8
19442,"Kenny Pickett",CLV,3,0,43,1,0,0,0,0,662,3,3,254.62
13529,"Jameis Winston",NYG,2,0,16,0,0,0,0,0,450,3,2,265.83
10144,"Tyrod Taylor",NYJ,2,0,25,0,0,0,0,0,410,2,1,246.83
22056,"Shedeur Sanders",CLV,2,0,18,0,0,0,0,0,430,2,2,256.36
22182,"Dillon Gabriel",CLV,2,0,20,0,0,0,0,0,410,2,2,246.39
22064,"Jalen Milroe",SEA,5,0,53,1,0,0,0,0,180,1,1,269.32
19449,"Sam Howell",MIN,1,0,14,0,0,0,0,0,210,2,1,255.22
12738,"Jimmy Garoppolo",LAR,1,0,6,0,0,0,0,0,220,2,1,255.31
19458,"Malik Willis",GB,1,0,39,0,0,0,0,0,191,1,1,258.38
13530,"Marcus Mariota",WAS,1,0,25,0,0,0,0,0,208,1,1,253.26
15357,"Joshua Dobbs",NE,1,0,26,0,0,0,0,0,205,1,1,245.96
18799,"Trey Lance",LAC,1,0,31,0,0,0,0,0,187,1,1,241.21
15231,"Deshaun Watson",CLV,1,0,24,0,0,0,0,0,198,1,1,241.35
17450,"Jake Browning",CIN,1,0,15,0,0,0,0,0,211,1,1,254.34
