Player,Team,Opp,GP,PYds,PTD,Int,RuYds,RuTD,Rec,ReYds,ReTD,ReturnTD,FumTD,2PT,FumLost,Points
"Bijan Robinson",ATL,TB,15,0,0,0,1348,11,57,436,2,0,0,0,2,309.40
"Jahmyr Gibbs",DET,@GB,15,0,0,0,1204,12,56,445,2,0,0,0,2,300.90
"Saquon Barkley",PHI,DAL,15,0,0,0,1680,11,31,232,2,0,0,0,2,296.20
"Christian McCaffrey",SF,@SEA,14,0,0,0,972,8,61,498,3,0,0,0,2,270.00
"Ashton Jeanty",LV,@NE,15,0,0,0,1215,9,49,372,2,0,0,0,2,269.70
"De'Von Achane",MIA,@IND,15,0,0,0,931,7,67,500,3,0,0,0,2,266.10
"Derrick Henry",BLT,@BUF,15,0,0,0,1562,13,15,143,1,0,0,0,2,265.50
"Josh Jacobs",GB,DET,15,0,0,0,1155,11,39,295,2,0,0,0,2,258.00
"Jonathan Taylor",IND,MIA,15,0,0,0,1320,10,34,255,1,0,0,0,2,253.50
"Bucky Irving",TB,@ATL,15,0,0,0,1041,8,45,334,2,0,0,0,2,238.50
"Kyren Williams",LAR,HST,15,0,0,0,1170,11,30,211,1,0,0,0,2,236.10
"Chase Brown",CIN,@CLV,15,0,0,0,936,7,51,380,2,0,0,0,2,232.60
"Alvin Kamara",NO,ARZ,14,0,0,0,875,5,59,435,2,0,0,0,2,228.00
"Omarion Hampton",LAC,KC,15,0,0,0,1040,9,37,281,1,0,0,0,2,225.10
"James Conner",ARZ,@NO,15,0,0,0,951,8,39,292,2,0,0,0,2,219.30
"James Cook",BUF,BLT,15,0,0,0,1035,8,33,257,2,0,0,0,2,218.20
"Breece Hall",NYJ,PIT,15,0,0,0,1005,5,43,330,2,0,0,0,2,214.50
"Chuba Hubbard",CAR,@JAX,15,0,0,0,1046,7,37,272,1,0,0,0,2,212.80
"TreVeyon Henderson",NE,LV,16,0,0,0,840,6,41,312,2,0,0,0,1,202.20
"Tony Pollard",TEN,@DEN,15,0,0,0,918,6,40,290,1,0,0,0,1,200.80
"RJ Harvey",DEN,TEN,15,0,0,0,770,6,43,315,2,0,0,0,0,199.50
"Kenneth Walker III",SEA,SF,15,0,0,0,955,7,30,220,1,0,0,0,2,191.50
"Jaylen Warren",PIT,@NYJ,16,0,0,0,760,4,45,340,1,0,0,0,1,183.00
"David Montgomery",DET,@GB,15,0,0,0,786,8,29,220,1,0,0,0,1,181.60
"D'Andre Swift",CHI,MIN,15,0,0,0,849,5,36,253,1,0,0,0,1,180.20
"Kaleb Johnson",PIT,@NYJ,16,0,0,0,840,8,25,185,1,0,0,0,1,179.50
"Isiah Pacheco",KC,@LAC,15,0,0,0,837,6,31,228,1,0,0,0,1,177.50
"Aaron Jones",MIN,@CHI,15,0,0,0,798,4,36,270,2,0,0,0,2,174.80
"J.K. Dobbins",DEN,TEN,14,0,0,0,590,5,38,275,2,0,0,0,2,162.50
"Tyrone Tracy Jr.",NYG,@WAS,15,0,0,0,745,4,35,250,1,0,0,0,1,162.50
"Travis Etienne",JAX,CAR,15,0,0,0,582,4,39,295,2,0,0,0,1,160.70
"Joe Mixon",HST,@LAR,13,0,0,0,690,6,27,195,1,0,0,0,1,155.50
"Austin Ekeler",WAS,NYG,15,0,0,0,460,4,38,290,2,1,0,0,1,153.00
"Zach Charbonnet",SEA,SF,16,0,0,0,511,4,39,285,1,0,0,0,1,146.60
"Jordan Mason",MIN,@CHI,16,0,0,0,715,5,20,145,1,0,0,0,0,142.00
"Quinshon Judkins",CLV,CIN,13,0,0,0,677,5,17,125,1,0,0,0,1,131.20
"Najee Harris",LAC,KC,16,0,0,0,599,5,22,152,1,0,0,0,1,131.10
"Rhamondre Stevenson",NE,LV,15,0,0,0,565,4,27,190,1,0,0,0,1,130.50
"Cam Skattebo",NYG,@WAS,16,0,0,0,525,4,28,202,1,0,0,0,1,128.70
"Tyjae Spears",TEN,@DEN,14,0,0,0,457,3,35,260,1,0,0,0,1,128.70
"Jaydon Blue",DAL,@PHI,16,0,0,0,531,3,26,192,1,0,0,0,0,122.30
"Trey Benson",ARZ,@NO,16,0,0,0,532,4,23,171,1,0,0,0,1,121.30
"Ray Davis",BUF,BLT,16,0,0,0,550,5,17,131,1,0,0,0,1,119.10
"Rachaad White",TB,@ATL,15,0,0,0,401,3,31,235,1,0,0,0,1,116.60
"Jaylen Wright",MIA,@IND,16,0,0,0,495,4,22,165,1,0,0,0,1,116.00
"Tyler Allgeier",ATL,TB,16,0,0,0,591,4,16,117,1,0,0,0,1,114.80
"Jerome Ford",CLV,CIN,16,0,0,0,390,2,32,237,1,0,0,0,1,110.70
"Javonte Williams",DAL,@PHI,15,0,0,0,440,3,24,170,1,0,0,0,0,109.00
"Rico Dowdle",CAR,@JAX,16,0,0,0,373,3,28,198,1,0,0,0,1,107.10
"Bhayshul Tuten",JAX,CAR,16,0,0,0,434,3,22,165,1,0,0,0,0,105.90
"Brian Robinson",WAS,NYG,15,0,0,0,517,4,14,103,1,0,0,0,1,104.00
"Dylan Sampson",CLV,CIN,16,0,0,0,432,2,22,164,1,0,0,0,0,99.60
"Jacory Croskey-Merritt",WAS,NYG,16,0,0,0,485,4,12,90,1,0,0,0,0,99.50
"Roschon Johnson",CHI,MIN,16,0,0,0,280,3,23,162,1,0,0,0,0,91.20
"Kareem Hunt",KC,@LAC,12,0,0,0,325,3,20,142,1,0,0,0,0,90.70
"Tank Bigsby",JAX,CAR,16,0,0,0,435,4,14,103,0,0,0,0,1,89.80
"Miles Sanders",DAL,@PHI,15,0,0,0,419,2,17,121,1,0,0,0,0,89.00
"Nick Chubb",HST,@LAR,12,0,0,0,435,4,12,86,0,0,0,0,0,88.10
"Braelon Allen",NYJ,PIT,16,0,0,0,328,3,18,130,1,0,0,0,0,87.80
"Justice Hill",BLT,@BUF,16,0,0,0,165,1,31,234,2,0,0,0,1,86.90
"Isaac Guerendo",SF,@SEA,16,0,0,0,415,3,12,90,1,0,0,0,0,86.50
"DJ Giddens",IND,MIA,16,0,0,0,335,3,15,111,0,0,0,0,0,77.60
"Devin Neal",NO,ARZ,16,0,0,0,310,2,15,110,1,0,0,0,0,75.00
"Sean Tucker",TB,@ATL,16,0,0,0,299,2,11,81,1,2,0,0,2,75.00
"Will Shipley",PHI,DAL,16,0,0,0,282,2,16,120,1,0,0,0,0,74.20
"Tahj Brooks",CIN,@CLV,16,0,0,0,350,3,11,80,0,0,0,0,1,70.00
"Emanuel Wilson",GB,DET,16,0,0,0,250,2,16,118,1,0,0,0,1,68.80
"Kyle Monangai",CHI,MIN,12,0,0,0,352,3,8,58,0,0,0,0,0,67.00
"Woody Marks",HST,@LAR,12,0,0,0,185,1,17,123,1,0,0,0,0,59.80
"Raheem Mostert",LV,@NE,15,0,0,0,232,2,13,95,0,0,0,0,0,57.70
"Devin Singletary",NYG,@WAS,16,0,0,0,282,2,10,72,0,0,0,0,0,57.40
"Ty Johnson",BUF,BLT,16,0,0,0,189,1,13,128,1,0,0,0,0,56.70
"Kendre Miller",NO,ARZ,14,0,0,0,248,2,10,72,0,0,0,0,0,54.00
"Brashard Smith",KC,@LAC,10,0,0,0,154,1,15,113,1,0,0,0,0,53.70
"Jarquez Hunter",LAR,HST,12,0,0,0,253,2,10,67,0,0,0,0,1,52.00
"Kenneth Gainwell",PIT,@NYJ,16,0,0,0,168,1,14,102,1,0,0,0,1,51.00
"Ollie Gordon II",MIA,@IND,12,0,0,0,245,3,6,44,0,0,0,0,1,50.90
"Samaje Perine",CIN,@CLV,12,0,0,0,128,1,15,106,1,0,0,0,0,50.40
"Keaton Mitchell",BLT,@BUF,15,0,0,0,187,1,10,78,1,0,0,0,0,48.50
"Blake Corum",LAR,HST,16,0,0,0,228,2,8,54,0,0,0,0,1,46.20
"Elijah Mitchell",KC,@LAC,12,0,0,0,200,2,8,57,0,0,0,0,0,45.70
"Chris Rodriguez Jr.",WAS,NYG,12,0,0,0,230,2,6,44,0,0,0,0,0,45.40
"Jordan James",SF,@SEA,12,0,0,0,220,2,6,44,0,0,0,0,0,44.40
"Dameon Pierce",HST,@LAR,16,0,0,0,207,2,9,66,0,0,0,0,2,44.30
"Antonio Gibson",NE,LV,16,0,0,0,146,1,12,90,0,0,0,0,0,41.60
"Jaleel McLaughlin",DEN,TEN,16,0,0,0,162,1,8,56,0,0,0,0,1,33.80
"Ty Chandler",MIN,@CHI,16,0,0,0,130,1,8,58,0,0,0,0,0,32.80
"Trevor Etienne",CAR,@JAX,12,0,0,0,147,1,7,51,0,0,0,0,0,32.80
"MarShawn Lloyd",GB,DET,12,0,0,0,145,1,7,52,0,0,0,0,0,32.70
"Isaiah Davis",NYJ,PIT,16,0,0,0,163,1,5,36,0,0,0,0,0,30.90
"Damien Martinez",SEA,SF,12,0,0,0,158,1,4,29,0,0,0,0,0,28.70
