Player,Team,Opp,GP,PYds,PTD,Int,RuYds,RuTD,Rec,ReYds,ReTD,ReturnTD,FumTD,2PT,FumLost,Points
"Brock Bowers",LV,@NE,16,0,0,0,16,0,101,1042,7,0,0,0,1,246.80
"Trey McBride",ARZ,@NO,16,0,0,0,3,0,102,1031,7,0,0,0,1,245.40
"George Kittle",SF,@SEA,15,0,0,0,0,0,70,970,7,0,0,0,1,207.00
"Sam LaPorta",DET,@GB,16,0,0,0,0,0,69,752,6,0,0,0,1,178.20
"T.J. Hockenson",MIN,@CHI,16,0,0,0,0,0,74,760,5,0,0,0,1,178.00
"Travis Kelce",KC,@LAC,16,0,0,0,1,0,69,681,5,0,0,0,1,165.20
"Mark Andrews",BLT,@BUF,16,0,0,0,4,0,55,681,7,0,0,0,1,163.50
"David Njoku",CLV,CIN,15,0,0,0,0,0,69,685,4,0,0,0,1,159.50
"Evan Engram",DEN,TEN,15,0,0,0,0,0,68,640,4,0,0,0,1,154.00
"Tyler Warren",IND,MIA,16,0,0,0,21,0,60,615,5,0,0,0,1,151.60
"Tucker Kraft",GB,DET,16,0,0,0,0,0,60,630,5,0,0,0,1,151.00
"Colston Loveland",CHI,MIN,16,0,0,0,0,0,62,628,4,0,0,0,1,146.80
"Jake Ferguson",DAL,@PHI,16,0,0,0,0,0,62,612,4,0,0,0,1,145.20
"Dallas Goedert",PIT,DAL,14,0,0,0,0,0,58,633,4,0,0,0,1,143.30
"Dalton Kincaid",BUF,BLT,16,0,0,0,0,0,60,610,4,0,0,0,1,143.00
"Chig Okonkwo",TEN,@DEN,16,0,0,0,6,0,59,605,4,0,0,0,1,142.10
"Kyle Pitts",ATL,TB,16,0,0,0,0,0,50,628,4,0,0,0,0,136.80
"Hunter Henry",NE,LV,16,0,0,0,0,0,53,564,4,0,0,0,1,131.40
"Jonnu Smith",PIT,@NYJ,16,0,0,0,3,0,56,570,3,0,0,0,1,129.30
"Mike Gesicki",CIN,@CLV,16,0,0,0,0,0,50,525,4,0,0,0,0,126.50
"Zach Ertz",WAS,NYG,16,0,0,0,0,0,51,489,4,0,0,0,0,123.90
"Mason Taylor",NYJ,PIT,16,0,0,0,0,0,52,515,3,0,0,0,0,121.50
"Brenton Strange",JAX,CAR,16,0,0,0,0,0,52,510,3,0,0,0,0,121.00
"Juwan Johnson",NO,ARZ,16,0,0,0,0,0,50,505,3,0,0,0,0,118.50
"Darren Waller",MIA,@IND,15,0,0,0,0,0,48,515,3,0,0,0,0,117.50
"Pat Freiermuth",PIT,@NYJ,16,0,0,0,0,0,51,487,3,0,0,0,1,115.70
"Ja'Tavion Sanders",CAR,@JAX,16,0,0,0,0,0,47,472,3,0,0,0,0,112.20
"Elijah Arroyo",SEA,SF,8,0,0,0,0,0,45,475,3,0,0,0,0,110.50
"Cade Otton",TB,@ATL,16,0,0,0,0,0,46,462,3,0,0,0,0,110.20
"Theo Johnson",NYG,@WAS,16,0,0,0,0,0,45,460,3,0,0,0,0,109.00
"Dalton Schultz",HST,@LAR,16,0,0,0,0,0,45,435,3,0,0,0,1,104.50
"Isaiah Likely",BLT,@BUF,14,0,0,0,0,0,37,440,4,0,0,0,1,103.00
"Tyler Higbee",LAR,HST,15,0,0,0,0,0,38,360,3,0,0,0,0,92.00
"Noah Gray",KC,@LAC,16,0,0,0,0,0,33,335,3,0,0,0,0,84.50
"Harold Fannin Jr.",CLV,CIN,16,0,0,0,0,0,34,345,2,0,0,0,0,80.50
"AJ Barner",SEA,SF,16,0,0,0,0,0,32,311,2,0,0,0,0,75.10
"Noah Fant",CIN,@CLV,16,0,0,0,0,0,29,295,2,0,0,0,0,70.50
"Michael Mayer",LV,@NE,16,0,0,0,0,0,29,285,2,0,0,0,0,69.50
"Will Dissly",LAC,KC,16,0,0,0,0,0,26,260,2,0,0,0,0,64.00
"Tyler Conklin",LAC,KC,16,0,0,0,0,0,26,241,2,0,0,0,0,62.10
"Oronde Gadsden II",LAC,KC,8,0,0,0,0,0,24,242,2,0,0,0,0,60.20
"Cade Stover",HST,@LAR,16,0,0,0,0,0,24,236,2,0,0,0,0,59.60
"Cole Kmet",CHI,MIN,16,0,0,0,0,0,24,240,2,0,0,0,1,58.00
"Dawson Knox",BUF,BLT,16,0,0,0,0,0,22,237,2,0,0,0,0,57.70
"Terrance Ferguson",LAR,HST,16,0,0,0,0,0,22,226,2,0,0,0,0,56.60
"Ben Sinnott",WAS,NYG,16,0,0,0,0,0,21,219,2,0,0,0,0,54.90
"Austin Hooper",NE,LV,16,0,0,0,0,0,21,205,2,0,0,0,0,53.50
"Gunnar Helm",TEN,@DEN,16,0,0,0,0,0,20,190,1,0,0,0,0,45.00
"Luke Musgrave",GB,DET,16,0,0,0,0,0,17,187,1,0,0,0,0,41.70
"Josh Oliver",MIN,@CHI,16,0,0,0,0,0,17,165,1,0,0,0,0,39.50
