Player,Team,Opp,GP,PYds,PTD,Int,RuYds,RuTD,Rec,ReYds,ReTD,ReturnTD,FumTD,2PT,FumLost,Points
"Ja'Marr Chase",CIN,@CLV,16,0,0,0,23,0,113,1490,11,0,0,0,1,328.30
"CeeDee Lamb",DAL,@PHI,16,0,0,0,81,1,108,1324,8,0,0,0,1,300.50
"Justin Jefferson",MIN,@CHI,16,0,0,0,6,0,102,1437,9,0,0,0,1,298.30
"Malik Nabers",NYG,@WAS,16,0,0,0,35,0,102,1230,8,0,0,0,1,274.50
"Brian Thomas Jr.",JAX,CAR,16,0,0,0,18,0,96,1305,8,0,0,0,1,274.30
"Puka Nacua",LAR,HST,15,0,0,0,75,1,97,1237,7,0,0,0,1,274.20
"Nico Collins",HST,@LAR,15,0,0,0,6,0,91,1305,9,0,0,0,1,274.10
"Amon-Ra St. Brown",DET,@GB,16,0,0,0,12,0,105,1215,8,0,0,0,1,273.70
"Tyreek Hill",MIA,@IND,16,0,0,0,35,0,95,1241,8,0,0,0,1,268.60
"Drake London",ATL,TB,16,0,0,0,11,0,98,1235,8,0,0,0,1,268.60
"A.J. Brown",PHI,DAL,16,0,0,0,0,0,86,1270,7,0,0,0,1,253.00
"Ladd McConkey",LAC,KC,16,0,0,0,7,0,88,1114,7,0,0,0,1,240.10
"DK Metcalf",PIT,@NYJ,16,0,0,0,6,0,80,1141,7,0,0,0,1,234.70
"Tee Higgins",CIN,@CLV,15,0,0,0,0,0,82,1057,8,0,0,0,1,233.70
"Marvin Harrison Jr.",ARZ,@NO,16,0,0,0,16,0,80,1112,7,0,0,0,1,232.80
"Davante Adams",LAR,HST,16,0,0,0,0,0,82,1040,8,0,0,0,1,232.00
"Terry McLaurin",WAS,NYG,16,0,0,0,6,0,79,1121,7,0,0,0,1,231.70
"Garrett Wilson",NYJ,PIT,16,0,0,0,37,0,85,1083,6,0,0,0,1,231.00
"Mike Evans",TB,@ATL,15,0,0,0,0,0,73,1043,9,0,0,0,1,229.30
"Jaxon Smith-Njigba",SEA,SF,16,0,0,0,42,0,84,978,6,0,0,0,1,220.00
"Tetairoa McMillan",CAR,@JAX,16,0,0,0,27,0,78,963,7,0,0,0,1,217.00
"DJ Moore",CHI,MIN,16,0,0,0,46,0,80,979,6,0,0,0,1,216.50
"Courtland Sutton",DEN,TEN,16,0,0,0,0,0,75,1003,7,0,0,0,1,215.30
"George Pickens",DAL,@PHI,16,0,0,0,16,0,70,1023,7,0,0,0,1,213.90
"DeVonta Smith",PHI,DAL,16,0,0,0,5,0,81,955,6,0,0,0,1,211.00
"Calvin Ridley",TEN,@DEN,16,0,0,0,33,0,71,1008,6,0,0,0,1,209.10
"Jameson Williams",DET,@GB,16,0,0,0,67,1,65,963,6,0,0,0,1,208.00
"Jaylen Waddle",MIA,@IND,16,0,0,0,23,0,74,970,6,0,0,0,1,207.30
"Xavier Worthy",KC,@LAC,16,0,0,0,92,1,68,840,7,0,0,0,1,207.20
"Jerry Jeudy",CLV,CIN,16,0,0,0,18,0,77,1000,5,0,0,0,1,206.80
"Chris Olave",NO,ARZ,15,0,0,0,5,0,77,997,5,0,0,0,1,205.20
"Rashee Rice",KC,@LAC,12,0,0,0,11,0,77,866,7,0,0,0,1,204.70
"Jakobi Meyers",LV,@NE,16,14,0,0,11,0,79,910,5,0,0,0,1,199.66
"Matthew Golden",GB,DET,16,0,0,0,33,0,67,910,6,0,0,0,0,197.30
"Travis Hunter",JAX,CAR,16,0,0,0,28,0,67,899,6,0,0,0,0,195.70
"Zay Flowers",BLT,@BUF,16,0,0,0,43,0,70,919,5,0,0,0,1,194.20
"Deebo Samuel Sr.",WAS,NYG,14,0,0,0,120,1,64,835,5,0,0,0,1,193.50
"Rome Odunze",CHI,MIN,16,0,0,0,10,0,67,901,6,0,0,0,1,192.10
"Stefon Diggs",NE,LV,15,0,0,0,11,0,70,785,6,0,0,0,1,183.60
"Emeka Egbuka",TB,@ATL,16,0,0,0,17,0,65,807,6,0,0,0,1,181.40
"Jordan Addison",MIN,@CHI,14,0,0,0,18,0,64,839,5,0,0,0,1,177.70
"Ricky Pearsall",SF,@SEA,16,0,0,0,55,0,62,820,5,0,0,0,1,177.50
"Chris Godwin",TB,@ATL,13,0,0,0,9,0,65,758,6,0,0,0,1,175.70
"Jauan Jennings",SF,@SEA,16,0,0,0,5,0,63,830,5,0,0,0,1,174.50
"Rashid Shaheed",NO,ARZ,15,0,0,0,42,0,55,802,5,1,0,0,1,173.40
"Khalil Shakir",BUF,BLT,16,0,0,0,11,0,72,775,4,0,0,0,1,172.60
"Jayden Reed",GB,DET,15,0,0,0,98,1,56,695,5,0,0,0,1,169.30
"Michael Pittman",IND,MIA,15,0,0,0,5,0,68,785,4,0,0,0,1,169.00
"Josh Downs",IND,MIA,16,0,0,0,17,0,65,759,4,0,0,0,1,164.60
"Cooper Kupp",SEA,SF,15,0,0,0,16,0,65,688,5,0,0,0,1,163.40
"Jayden Higgins",HST,@LAR,16,0,0,0,6,0,57,757,5,0,0,0,0,163.30
"Keon Coleman",BUF,BLT,16,0,0,0,6,0,54,739,5,0,0,0,1,156.50
"Marvin Mims Jr.",DEN,TEN,16,0,0,0,48,0,49,675,5,1,0,0,1,155.30
"Darnell Mooney",ATL,TB,14,0,0,0,5,0,53,723,4,0,0,0,1,147.80
"Josh Palmer",BUF,BLT,16,0,0,0,0,0,48,696,5,0,0,0,0,147.60
"Marquise Brown",KC,@LAC,15,0,0,0,0,0,50,660,5,0,0,0,0,146.00
"Cedric Tillman",CLV,CIN,16,0,0,0,7,0,51,671,4,0,0,0,0,142.80
"Rashod Bateman",BLT,@BUF,16,0,0,0,0,0,44,679,5,0,0,0,0,141.90
"Adam Thielen",CAR,@JAX,15,0,0,0,5,0,56,619,4,0,0,0,1,140.40
"DeMario Douglas",NE,LV,16,0,0,0,26,0,58,616,3,0,0,0,0,140.20
"Wan'Dale Robinson",NYG,@WAS,16,0,0,0,23,0,63,585,3,0,0,0,1,139.80
"Luther Burden III",CHI,MIN,16,0,0,0,47,1,47,560,4,0,0,0,1,135.70
"Tre Harris",LAC,KC,16,0,0,0,5,0,48,651,4,0,0,0,1,135.60
"Dyami Brown",JAX,CAR,16,0,0,0,11,0,46,595,4,0,0,0,0,130.60
"Brandon Aiyuk",SF,@SEA,12,0,0,0,0,0,44,630,4,0,0,0,1,129.00
"Christian Kirk",HST,@LAR,16,0,0,0,9,0,48,563,4,0,0,0,1,127.20
"Keenan Allen",LAC,KC,15,0,0,0,6,0,49,535,4,0,0,0,1,125.10
"Michael Wilson",ARZ,@NO,16,0,0,0,5,0,45,532,4,0,0,0,0,122.70
"Darius Slayton",NYG,@WAS,16,0,0,0,0,0,40,595,3,0,0,0,0,117.50
"Romeo Doubs",GB,DET,16,0,0,0,0,0,41,510,4,0,0,0,1,114.00
"Brandin Cooks",NO,ARZ,15,0,0,0,6,0,43,518,3,0,0,0,0,113.40
"Diontae Johnson",CLV,CIN,12,0,0,0,7,0,45,490,3,0,0,0,1,110.70
"Jordan Whittington",LAR,HST,16,0,0,0,28,0,41,452,3,0,0,0,0,107.00
"Xavier Legette",CAR,@JAX,16,0,0,0,20,0,39,485,3,0,0,0,1,105.50
"Jack Bech",LV,@NE,16,0,0,0,5,0,39,452,3,0,0,0,0,102.70
