player_id,player_name,team,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
18775,"Ja'Marr Chase",CIN,16,0,23,0,113,1490,11,1,0,0,0,1.16
17965,"CeeDee Lamb",DAL,16,0,81,1,108,1324,8,1,0,0,0,5.87
17972,"Justin Jefferson",MIN,16,0,6,0,102,1437,9,1,0,0,0,5.4
21122,"Malik Nabers",NYG,16,0,35,0,102,1230,8,1,0,0,0,9.69
20336,"Puka Nacua",LAR,15,0,75,1,97,1237,7,1,0,0,0,12.43
18836,"Nico Collins",HST,15,0,6,0,91,1305,9,1,0,0,0,14.61
18827,"Amon-Ra St. Brown",DET,16,0,12,0,105,1215,8,1,0,0,0,10.29
14725,"Tyreek Hill",MIA,16,0,35,0,95,1241,8,1,0,0,0,32.51
19433,"Drake London",ATL,16,0,11,0,98,1235,8,1,0,0,0,16.58
17004,"A.J. Brown",PHI,16,0,0,0,86,1270,7,1,0,0,0,21.09
21139,"Ladd McConkey",LAC,16,0,7,0,88,1114,7,1,0,0,0,22.17
17002,"DK Metcalf",PIT,16,0,6,0,80,1141,7,1,0,0,0,49.08
17971,"Tee Higgins",CIN,15,0,0,0,82,1057,8,1,0,0,0,31.55
12729,"Davante Adams",LAR,16,0,0,0,82,1040,8,1,0,0,0,38.32
17062,"Terry McLaurin",WAS,16,0,6,0,79,1121,7,1,0,0,0,41.35
19431,"Garrett Wilson",NYJ,16,0,37,0,85,1083,6,1,0,0,0,28.34
12686,"Mike Evans",TB,15,0,0,0,73,1043,9,1,0,0,0,41.23
20273,"Jaxon Smith-Njigba",SEA,16,0,42,0,84,978,6,1,0,0,0,29.52
22059,"Tetairoa McMillan",CAR,16,0,27,0,78,963,7,1,0,0,0,53.66
16134,"DJ Moore",CHI,16,0,46,0,80,979,6,1,0,0,0,43.8
16066,"Courtland Sutton",DEN,16,0,0,0,75,1003,7,1,0,0,0,48.42
19437,"George Pickens",DAL,16,0,16,0,70,1023,7,1,0,0,0,62.46
18778,"DeVonta Smith",PHI,16,0,5,0,81,955,6,1,0,0,0,54.53
16065,"Calvin Ridley",TEN,16,0,33,0,71,1008,6,1,0,0,0,64.44
19435,"Jameson Williams",DET,16,0,67,1,65,963,6,1,0,0,0,53.56
