player_id,player_name,team,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
20271,"Bijan Robinson",ATL,clay|cbs|nfl,16,195.7,1388,11.3,59,450.7,2,1,0,0,0,2.6
20272,"Jahmyr Gibbs",DET,clay|cbs|nfl,16,153.7,1211.3,11.3,57.3,517,2.7,1,0,0,0,4.3
16062,"Saquon Barkley",PHI,clay|cbs|nfl,16,217,1692.3,10.7,39.3,303.7,2,1,0,0,0,4.9
22055,"Ashton Jeanty",LV,clay|cbs|nfl,16,181.7,1191.7,9,51.7,416.3,2,2,0,0,0,10.6
15222,"Christian McCaffrey",SF,clay|cbs|nfl,15.5,159.3,1079,8,63.7,553.3,3,1.3,0,0,0,12.4
15055,"Derrick Henry",BLT,clay|cbs|nfl,16,200.3,1555.3,13.7,17.3,167,1,1,0,0,0,13.8
20284,"De'Von Achane",MIA,clay|cbs|nfl,16,130,933,7.3,69.7,528.3,4.3,1,0,0,0,13.9
21136,"Bucky Irving",TB,clay|cbs|nfl,16,168.7,1167,8.3,45.3,355,2,1,0,0,0,21
17962,"Jonathan Taylor",IND,clay|cbs|nfl,16,216.3,1441,10,30.7,230.7,1.3,1,0,0,0,22.6
16998,"Josh Jacobs",GB,clay|cbs|nfl,16,201.3,1257,12,39.7,333,1.7,1,0,0,0,22.8
20292,"Chase Brown",CIN,clay|cbs|nfl,16,155.7,966.3,8,58.3,406.7,2.7,1,0,0,0,25
19450,"Kyren Williams",LAR,clay|cbs|nfl,16,200.7,1269,11.7,33.7,214.3,2,1.7,0,0,0,28
19427,"Breece Hall",NYJ,clay|cbs|nfl,16,139.3,961,5.3,46.3,390.7,2.3,1.3,0,0,0,35
19467,"James Cook",BUF,clay|cbs|nfl,16,157.7,1091.3,10.3,33.7,272,2,1,0,0,0,38.9
22069,"Omarion Hampton",LAC,clay|cbs|nfl,16,154,995.3,9,35.3,289.3,1.7,1.7,0,0,0,40.8
15293,"Alvin Kamara",NO,clay|cbs|nfl,15.5,153.7,958.7,5.3,67,518.7,2,1,0,0,0,48.1
18773,"Chuba Hubbard",CAR,clay|cbs|nfl,16,162.7,1089.7,8,43.3,258.7,1,1.3,0,0,0,48.9
22072,"TreVeyon Henderson",NE,clay|cbs|nfl,16.5,146,956.3,6,38.3,303.7,1.7,1.3,0,0,0,57.4
15306,"James Conner",ARZ,clay|cbs|nfl,16,146,989.7,8,42.7,336.3,2,1,0,0,0,57.4
17016,"David Montgomery",DET,clay|cbs|nfl,16,138.3,835.3,9,32,261.3,0.7,0.7,0,0,0,66.8
