player_id,player_name,team,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
21123,"Brock Bowers",LV,clay|cbs|nfl,16.5,2,11.3,0,105.3,1121.7,6.3,0.3,0,0,0,19
19439,"Trey McBride",ARZ,clay|cbs|nfl,16.5,0,1,0,104.7,1057.7,6,0.3,0,0,0,26.8
15360,"George Kittle",SF,clay|cbs|nfl,16,0,0,0,76.7,1049.3,8,0.3,0,0,0,43.5
20339,"Sam LaPorta",DET,clay|cbs|nfl,16.5,0,0,0,69.7,766,6.7,0.3,0,0,0,65.1
17014,"T.J. Hockenson",MIN,clay|cbs|nfl,16.5,0,0,0,76.3,809.7,4.3,0.3,0,0,0,81.3
11842,"Travis Kelce",KC,clay|cbs|nfl,16.5,0,0.3,0,77.3,758.7,5,0.7,0,0,0,86.8
16075,"Mark Andrews",BLT,clay|cbs|nfl,16.5,1.7,7.3,0,58.3,699.7,7.7,0.7,0,0,0,95
15238,"Evan Engram",DEN,clay|cbs|nfl,16,0.7,2,0,74.3,653.3,4,0.7,0,0,0,102.9
15227,"David Njoku",CLV,clay|cbs|nfl,16,0,0,0,75.7,707.7,5,0.7,0,0,0,109.5
22067,"Tyler Warren",IND,clay|cbs|nfl,16.5,1.7,13.7,0,61,693,5,1,0,0,0,113.8
20312,"Tucker Kraft",GB,clay|cbs|nfl,16.5,0,0,0,57,668,5,0.7,0,0,0,123.6
20300,"Dalton Kincaid",BUF,clay|cbs|nfl,16.5,0,0,0,56.7,616.3,4,0.3,0,0,0,136.7
15319,"Jonnu Smith",PIT,clay|cbs|nfl,16.5,1.7,7.3,0,53.3,562,4,0.7,0,0,0,139.5
19476,"Jake Ferguson",DAL,clay|cbs|nfl,16.5,0,0,0,66,623,3.7,1,0,0,0,143.2
22075,"Colston Loveland",CHI,clay|cbs|nfl,16.5,0,0,0,56.7,597.7,4.3,0.7,0,0,0,147.6
18789,"Kyle Pitts",ATL,clay|cbs|nfl,16.5,0,0,0,49,629.7,4,0,0,0,0,149.4
16151,"Dallas Goedert",PHI,clay|cbs,17,1.5,6,0,63.5,720.5,4.5,0,0,0,0,159.9
19464,"Isaiah Likely",BLT,clay|cbs|nfl,15.5,0,0,0,39.3,484,5,0.7,0,0,0,173.4
14968,"Hunter Henry",NE,clay|cbs|nfl,16.5,0,0,0,56.7,603.3,4.3,0.3,0,0,0,180
11816,"Zach Ertz",WAS,clay|cbs|nfl,16.5,0,0,0,58.3,548.7,5.3,0,0,0,0,180.8
18792,"Pat Freiermuth",PIT,clay|cbs|nfl,16.5,0,0,0,52.3,495.7,3.7,0.7,0,0,0,191.9
20425,"Brenton Strange",JAX,clay|cbs|nfl,16.5,0,0,0,56.3,563,3.3,0.3,0,0,0,193.3
16149,"Mike Gesicki",CIN,clay|cbs|nfl,16.5,0,0,0,49.3,494.3,3.7,0.3,0,0,0,202.4
19632,"Cade Otton",TB,clay|cbs|nfl,16.5,0,0,0,50.7,532.7,4,0.3,0,0,0,205.8
19633,"Chig Okonkwo",TEN,nfl,16,0,6,0,59,605,4,1,0,0,0,207.4
22120,"Mason Taylor",NYJ,clay|cbs|nfl,16.5,0,0,0,52.7,530.3,3,0.7,0,0,0,219.3
16255,"Dalton Schultz",HST,clay|cbs|nfl,16.5,0,0,0,49.7,516.7,3.3,0.3,0,0,0,233
18010,"Cole Kmet",CHI,clay|cbs|nfl,16.5,0,0,0,27,258.7,2.3,0.3,0,0,0,237.9
18582,"Juwan Johnson",NO,clay|cbs|nfl,16.5,0,0,0,49.7,514.3,3,0,0,0,0,238.5
19128,"Noah Gray",KC,clay|cbs|nfl,16.5,0,0,0,30.7,301,2.7,0,0,0,0,238.7
20938,"Julian Hill",MIA,clay|cbs,17,0,0,0,15.5,137.5,1,0.5,0,0,0,241.1
20614,"Josh Whyle",TEN,clay|cbs,17,0,0,0,18,163,1,0,0,0,0,241.2
19625,"Daniel Bellinger",NYG,clay,17,0,0,0,8,67,0,0,0,0,0,241.2
22127,"Luke Lachey",HST,cbs,0,0,0,0,11,112,1,0,0,0,0,241.2
20346,"Elijah Higgins",ARZ,clay|cbs,17,0,0,0,13.5,123.5,1.5,0,0,0,0,241.2
21011,"Nate Adkins",DEN,cbs,0,0,0,0,12,91,2,0,0,0,0,241.2
18271,"Charlie Woerner",ATL,clay,17,0,0,0,9,88,1,0,0,0,0,241.3
19482,"Charlie Kolar",BLT,clay|cbs,17,0,0,0,6.5,86,0.5,0,0,0,0,241.3
19101,"Brock Wright",DET,clay|cbs,17,0,0,0,15,135,2,0,0,0,0,241.3
15751,"Robert Tonyan",KC,cbs,0,0,0,0,12,109,1,0,0,0,0,241.4
18801,"Hunter Long",JAX,cbs,0,0,0,0,24,213,1,0,0,0,0,241.4
19484,"Jelani Woods",IND,cbs,0,0,0,0,16,274,2,0,0,0,0,241.5
19124,"Luke Farrell",SF,clay,17,0,0,0,4,39,0,0,0,0,0,241.6
18018,"Colby Parkinson",LAR,clay|cbs,17,0,0,0,11,110,1,0,0,0,0,241.9
19578,"Jeremy Ruckert",NYJ,clay|cbs,17,0,0,0,16,133,0.5,0,0,0,0,241.9
20301,"Darnell Washington",PIT,clay|cbs,17,0,0,0,14.5,144.5,0.5,0,0,0,0,241.9
17548,"Foster Moreau",NO,clay|cbs,17,0,0,0,29,345.5,3,0,0,0,0,243.6
21152,"Cade Stover",HST,clay|nfl,16.5,0,0,0,20,197,1.5,0,0,0,0,243.7
18807,"Tommy Tremble",CAR,clay|cbs,17,0,0,0,23.5,228,2.5,0.5,0,0,0,243.8
21143,"Ja'Tavion Sanders",CAR,clay|cbs|nfl,16.5,0,0,0,44.3,449.3,2.3,0,0,0,0,244.4
15555,"Johnny Mundt",JAX,clay|cbs,17,0,0,0,14,120,1,0,0,0,0,244.9
17082,"Josh Oliver",MIN,clay|cbs|nfl,16.5,0,0,0,21.7,232.3,2,0,0,0,0,246.1
13738,"Darren Waller",MIA,clay|cbs|nfl,16,0,0,0,52.3,592.7,3.3,0,0,0,0,246.1
19731,"Grant Calcaterra",PHI,clay|cbs,17,0,0,0,13,154.5,1,0,0,0,0,246.6
21181,"Theo Johnson",NYG,clay|cbs|nfl,16.5,0,0,0,46.3,510.3,3,0,0,0,0,248.3
22123,"Gunnar Helm",TEN,clay|cbs|nfl,16.5,0,0,0,20,200.7,1,0.3,0,0,0,248.9
22121,"Elijah Arroyo",SEA,clay|cbs|nfl,12.5,0,0,0,38.3,408.7,2.3,0.3,0,0,0,249.3
14743,"Tyler Higbee",LAR,clay|cbs|nfl,16,0,0,0,46.3,434.3,4.3,0,0,0,0,251.9
20353,"Luke Schoonmaker",DAL,clay|cbs,17,0,0,0,15,133.5,1,0,0,0,0,256
16379,"Tyler Conklin",LAC,clay|cbs|nfl,16.5,0,0,0,29.7,297,2,0,0,0,0,260.6
21315,"AJ Barner",SEA,cbs|nfl,16,0,0,0,32,286.5,2.5,0,0,0,0,264.2
20303,"Luke Musgrave",GB,clay|cbs|nfl,16.5,0,0,0,18,180.3,1.3,0,0,0,0,267.4
14374,"Austin Hooper",NE,clay|cbs|nfl,16.5,0,0,0,25,253.3,2,0.3,0,0,0,267.9
17021,"Noah Fant",CIN,clay|cbs|nfl,16.5,0,0,0,37.3,381,2.3,0,0,0,0,268.7
22206,"Terrance Ferguson",LAR,clay|cbs|nfl,16.5,0,0,0,21.7,225.3,2,0.3,0,0,0,268.9
15938,"Taysom Hill",NO,cbs,0,0,0,0,33,274,2,1,0,0,0,270
21164,"Ben Sinnott",WAS,clay|nfl,16.5,0,0,0,22,222.5,2,0,0,0,0,271.3
17088,"Dawson Knox",BUF,clay|cbs|nfl,16.5,0,0,0,17.7,198.7,1.7,0,0,0,0,271.6
20282,"Michael Mayer",LV,clay|cbs|nfl,16.5,0,0,0,30.7,284.7,1.7,0,0,0,0,275.3
16833,"Will Dissly",LAC,clay|cbs|nfl,16.5,0,0,0,35.3,337.3,2.3,0,0,0,0,277.9
