player_id,player_name,team,sources,G,Carries,RuYds,RuTD,Rec,ReYds,ReTD,FumLost,PYds,PTD,INT,NFC_ADP
18775,"Ja'Marr Chase",CIN,clay|cbs|nfl,16.5,1.3,14.3,0,116.3,1541.7,12,0.3,0,0,0,1.2
17972,"Justin Jefferson",MIN,clay|cbs|nfl,16.5,0,2,0,107.7,1498.7,9.3,0.3,0,0,0,5.4
17965,"CeeDee Lamb",DAL,clay|cbs|nfl,16.5,2.7,43.3,0.3,114.3,1407.7,8,0.7,0,0,0,5.9
21122,"Malik Nabers",NYG,clay|cbs|nfl,16.5,1.3,19.7,0,108.3,1349.7,9,0.3,0,0,0,9.7
18827,"Amon-Ra St. Brown",DET,clay|cbs|nfl,16.5,1.7,14.3,0,110,1245.3,8.3,0.7,0,0,0,10.3
20336,"Puka Nacua",LAR,clay|cbs|nfl,16,4.3,50.7,0.7,105.3,1383,6.7,0.3,0,0,0,12.4
21131,"Brian Thomas Jr.",JAX,clay|cbs|nfl,16.5,1.3,14.7,0,93.3,1313.3,9,0.3,0,0,0,12.8
18836,"Nico Collins",HST,clay|cbs|nfl,16,0,2,0,91,1308,9.3,0.3,0,0,0,14.6
19433,"Drake London",ATL,clay|cbs|nfl,16.5,0,3.7,0,95.3,1197.7,8.3,0.3,0,0,0,16.6
17004,"A.J. Brown",PHI,clay|cbs|nfl,16.5,0,0,0,85.3,1271.3,8.3,0.7,0,0,0,21.1
21139,"Ladd McConkey",LAC,clay|cbs|nfl,16.5,0,2.3,0,90.7,1192.3,7,0.3,0,0,0,22.2
19431,"Garrett Wilson",NYJ,clay|cbs|nfl,16.5,1.7,21,0,88,1087.3,5.7,1,0,0,0,28.3
20273,"Jaxon Smith-Njigba",SEA,clay|cbs|nfl,16.5,2.3,27.3,0,90.7,1056,6.3,0.3,0,0,0,29.5
17971,"Tee Higgins",CIN,clay|cbs|nfl,16,0,0,0,88.7,1129.7,9.3,0.7,0,0,0,31.6
14725,"Tyreek Hill",MIA,clay|cbs|nfl,16.5,2.7,28.3,0,93.7,1193.7,7.7,0.3,0,0,0,32.5
21121,"Marvin Harrison Jr.",ARZ,clay|cbs|nfl,16.5,0,5.3,0,77,1085.3,8,0.7,0,0,0,36.1
12729,"Davante Adams",LAR,clay|cbs|nfl,16.5,0,0,0,87.3,1175.3,9,0.3,0,0,0,38.3
12686,"Mike Evans",TB,clay|cbs|nfl,16,0,0,0,77.7,1070.7,9.7,0.3,0,0,0,41.2
17062,"Terry McLaurin",WAS,clay|cbs|nfl,16.5,0.7,6.3,0,80.7,1112.7,8.7,0.7,0,0,0,41.4
16134,"DJ Moore",CHI,clay|cbs|nfl,16.5,3,32,0,87.7,1030.3,6.7,0.7,0,0,0,43.8
21128,"Xavier Worthy",KC,clay|cbs|nfl,16.5,6.7,68.7,1,71,893.3,7.7,0.3,0,0,0,46.6
20287,"Rashee Rice",KC,clay|cbs|nfl,12.5,0.3,6.3,0,74.7,846.7,6.3,0.3,0,0,0,47.6
16066,"Courtland Sutton",DEN,clay|cbs|nfl,16.5,0,0,0,75.3,1005.7,7.7,0.7,0,0,0,48.4
17002,"DK Metcalf",PIT,clay|cbs|nfl,16.5,0,2,0,78.3,1163.3,7.3,1,0,0,0,49.1
19435,"Jameson Williams",DET,clay|cbs|nfl,16.5,3.3,47,0.7,61.3,983,6,0.3,0,0,0,53.6
22059,"Tetairoa McMillan",CAR,clay|cbs|nfl,16.5,0,9,0,74.3,976.3,6,1,0,0,0,53.7
18778,"DeVonta Smith",PHI,clay|cbs|nfl,16.5,0,1.7,0,81.7,970.7,7,0.3,0,0,0,54.5
20288,"Zay Flowers",BLT,clay|cbs|nfl,16.5,3.3,35.3,0,71.7,1006.3,6,0.3,0,0,0,57.2
19437,"George Pickens",DAL,clay|cbs|nfl,16.5,0.7,9.3,0,71,1036,6.7,0.7,0,0,0,62.5
17964,"Jerry Jeudy",CLV,clay|cbs|nfl,16.5,0,6,0,82.7,1096.7,4.3,0.3,0,0,0,63.2
18781,"Jaylen Waddle",MIA,clay|cbs|nfl,16.5,1.3,15.3,0,76.3,993,5,0.3,0,0,0,63.9
16065,"Calvin Ridley",TEN,clay|cbs|nfl,16.5,2.7,27.7,0,68.3,1043.3,6,0.7,0,0,0,64.4
20335,"Rome Odunze",CHI,clay|cbs|nfl,16.5,0.7,7.7,0,67.3,936.7,5.7,0.7,0,0,0,67.5
