player_name,position,team,nfc_adp,ppr_points,standard_points,half_ppr_points,ppr_points_per_game,standard_points_per_game,half_ppr_points_per_game,last_updated,exp_games_missed
Ja'Marr Chase,WR,CIN,1.2,343.3,227.0,285.15,20.81,13.76,17.28,2025-01-01T00:00:00Z,0
Bijan Robinson,RB,ATL,2.6,320.67,261.67,291.17,20.04,16.35,18.2,2025-01-01T00:00:00Z,0
Jahmyr Gibbs,RB,DET,4.3,312.13,254.83,283.48,19.51,15.93,17.72,2025-01-01T00:00:00Z,0
Saquon Barkley,RB,PHI,4.9,313.1,273.8,293.45,19.57,17.11,18.34,2025-01-01T00:00:00Z,0
Justin Jefferson,WR,MIN,5.4,312.97,205.27,259.12,18.97,12.44,15.7,2025-01-01T00:00:00Z,0
CeeDee Lamb,WR,DAL,5.9,307.8,193.5,250.65,18.65,11.73,15.19,2025-01-01T00:00:00Z,0
Malik Nabers,WR,NYG,9.7,298.64,190.34,244.49,18.1,11.54,14.82,2025-01-01T00:00:00Z,0
Amon-Ra St. Brown,WR,DET,10.3,284.36,174.36,229.36,17.23,10.57,13.9,2025-01-01T00:00:00Z,0
Ashton Jeanty,RB,LV,10.6,274.5,222.8,248.65,17.16,13.93,15.54,2025-01-01T00:00:00Z,0
Christian McCaffrey,RB,SF,12.4,290.33,226.63,258.48,18.73,14.62,16.68,2025-01-01T00:00:00Z,0
Puka Nacua,WR,LAR,12.4,292.47,187.17,239.82,18.28,11.7,14.99,2025-01-01T00:00:00Z,0
Brian Thomas Jr.,WR,JAX,12.79,278.66,185.33,231.995,16.88,11.23,14.06,2025-01-01T00:00:00Z,0
Derrick Henry,RB,BLT,13.8,275.73,258.43,267.08,17.23,16.15,16.69,2025-01-01T00:00:00Z,0
De'Von Achane,RB,MIA,13.9,283.43,213.73,248.58,17.71,13.36,15.54,2025-01-01T00:00:00Z,3
Nico Collins,WR,HST,14.6,277.2,186.2,231.7,17.32,11.64,14.48,2025-01-01T00:00:00Z,0
Drake London,WR,ATL,16.6,264.64,169.34,216.99,16.04,10.26,13.15,2025-01-01T00:00:00Z,0
Brock Bowers,TE,LV,19.0,255.8,150.5,203.15,15.5,9.12,12.31,2025-01-01T00:00:00Z,0
Bucky Irving,RB,TB,21.0,257.3,212.0,234.65,16.08,13.25,14.67,2025-01-01T00:00:00Z,0
A.J. Brown,WR,PHI,21.1,260.83,175.53,218.18,15.81,10.64,13.22,2025-01-01T00:00:00Z,0
Ladd McConkey,WR,LAC,22.2,251.56,160.86,206.21,15.25,9.75,12.5,2025-01-01T00:00:00Z,0
Jonathan Taylor,RB,IND,22.6,263.67,232.97,248.32,16.48,14.56,15.52,2025-01-01T00:00:00Z,0
Josh Jacobs,RB,GB,22.8,278.9,239.2,259.05,17.43,14.95,16.19,2025-01-01T00:00:00Z,0
Lamar Jackson,QB,BLT,23.5,369.98,369.98,369.98,22.42,22.42,22.42,2025-01-01T00:00:00Z,0
Josh Allen,QB,BUF,24.3,369.66,369.66,369.66,22.4,22.4,22.4,2025-01-01T00:00:00Z,0
Chase Brown,RB,CIN,25.0,257.8,199.5,228.65,16.11,12.47,14.29,2025-01-01T00:00:00Z,0
Trey McBride,TE,ARZ,26.8,245.97,141.27,193.62,14.91,8.56,11.73,2025-01-01T00:00:00Z,0
Kyren Williams,RB,LAR,28.0,260.83,227.13,243.98,16.3,14.2,15.25,2025-01-01T00:00:00Z,0
Garrett Wilson,WR,NYJ,28.3,231.03,143.03,187.03,14.0,8.67,11.34,2025-01-01T00:00:00Z,0
Jaxon Smith-Njigba,WR,SEA,29.5,236.23,145.53,190.88,14.32,8.82,11.57,2025-01-01T00:00:00Z,0
Joe Burrow,QB,CIN,31.2,336.52,336.52,336.52,20.4,20.4,20.4,2025-01-01T00:00:00Z,0
Tee Higgins,WR,CIN,31.6,256.07,167.37,211.72,16.0,10.46,13.23,2025-01-01T00:00:00Z,0
Tyreek Hill,WR,MIA,32.5,261.5,167.8,214.65,15.85,10.17,13.01,2025-01-01T00:00:00Z,0
Jayden Daniels,QB,WAS,33.2,357.83,357.83,357.83,21.69,21.69,21.69,2025-01-01T00:00:00Z,0
Breece Hall,RB,NYJ,35.0,224.47,178.17,201.32,14.03,11.14,12.58,2025-01-01T00:00:00Z,0
Davante Adams,WR,LAR,38.3,258.23,170.93,214.58,15.65,10.36,13.0,2025-01-01T00:00:00Z,0
James Cook,RB,BUF,38.9,241.83,208.13,224.98,15.11,13.01,14.06,2025-01-01T00:00:00Z,0
Jalen Hurts,QB,PHI,39.4,360.6,360.6,360.6,21.85,21.85,21.85,2025-01-01T00:00:00Z,0
